NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CALCUL NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
DOME GRIMALDI L 1;TH978S6639W;978S6639W;Formation répertoriée;Dôme;TH;Volcan;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Grimaldi L n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et physicien;Italie;italien;Italien;17;17 ème siècle;Bologne;1618;Bologne;1663;Jésuite. Découvreur des interférences lumineuses et de la diffraction de la lumière en 1650. Auteur d'une carte de la Lune utilisée par Riccioli en 1651.;-66,39648415;293,60;66 ° 24 '  Ouest;-9,787819057;9 ° 47 '  Sud;Face visible;Sud - Ouest;Limbe Ouest de la Lune;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;Calcul impossible;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;S du cratère Grimaldi L;Description ALPO : Pas de description physique.;;;;Non décrit;3;Formation très intéressante;13;6 jours après le Premier Quartier;5 jours après le Dernier Quartier;999;Non déterminé;Non déterminé;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRIMALDI L 2;TH967S6678W;967S6678W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Grimaldi L n° 2;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et physicien;Italie;italien;Italien;17;17 ème siècle;Bologne;1618;Bologne;1663;Jésuite. Découvreur des interférences lumineuses et de la diffraction de la lumière en 1650. Auteur d'une carte de la Lune utilisée par Riccioli en 1651.;-66,78942898;293,21;66 ° 47 '  Ouest;-9,671555142;9 ° 40 '  Sud;Face visible;Sud - Ouest;Limbe Ouest de la Lune;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;Calcul impossible;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SE du cratère Grimaldi L;Description ALPO : Pas de description physique.;;;;Non décrit;3;Formation très intéressante;13;6 jours après le Premier Quartier;5 jours après le Dernier Quartier;999;Non déterminé;Non déterminé;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRIMALDI L 3;TH961S6706W;961S6706W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Grimaldi L n° 3;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et physicien;Italie;italien;Italien;17;17 ème siècle;Bologne;1618;Bologne;1663;Jésuite. Découvreur des interférences lumineuses et de la diffraction de la lumière en 1650. Auteur d'une carte de la Lune utilisée par Riccioli en 1651.;-67,06282749;292,94;67 ° 4 '  Ouest;-9,613438289;9 ° 37 '  Sud;Face visible;Sud - Ouest;Limbe Ouest de la Lune;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;Calcul impossible;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SO du cratère Grimaldi L;Description ALPO : Pas de description physique.;;;;Non décrit;3;Formation très intéressante;13;6 jours après le Premier Quartier;5 jours après le Dernier Quartier;999;Non déterminé;Non déterminé;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRUITHUISEN DELTA;TH3587N3936W;3587N3936W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Mons Gruithuisen Delta n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et naturalistee;Allemagne;allemand;Allemand;19;19 ème siècle;Haltenberg;1774;?;1852;Observateur de la Lune la croyant habitée. Auteur de la théorie de l'origine météoritique des cratères lunaires en 1840.;-39,36988793;320,63;39 ° 22 '  Ouest;35,87366688;35 ° 52 '  Nord;Face visible;Nord - Ouest;Partie Nord de l'Océan des Tempêtes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;34;20;20.6;12.1;17;1660;5030;0.048823529411765;------------^------------;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Mons Gruithuisen Delta;Description ALPO : Grand dome faclie à  localiser. Oblong. Complexe. Cratère-puit sommital.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;30;Jumelles x10;Instruments 50 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRUITHUISEN E 1;TH3637N4496W;3637N4496W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gruithuisen E;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et naturalistee;Allemagne;allemand;Allemand;19;19 ème siècle;Haltenberg;1774;?;1852;Observateur de la Lune la croyant habitée. Auteur de la théorie de l'origine météoritique des cratères lunaires en 1840.;-44,96336998;315,04;44 ° 58 '  Ouest;36,37018758;36 ° 22 '  Nord;Face visible;Nord - Ouest;Partie Nord de l'Océan des Tempêtes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;10;10;6.1;6.1;5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;SE du cratère Gruithuisen E;Description ALPO : Hémisphérique.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRUITHUISEN GAMMA 1;TH3708N4096W;3708N4096W;Formation répertoriée;Dôme;TH;Volcan;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gruithuisen Gamma n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et naturalistee;Allemagne;allemand;Allemand;19;19 ème siècle;Haltenberg;1774;?;1852;Observateur de la Lune la croyant habitée. Auteur de la théorie de l'origine météoritique des cratères lunaires en 1840.;-40,96524435;319,03;40 ° 58 '  Ouest;37,08506032;37 ° 5 '  Nord;Face visible;Nord - Ouest;Partie Nord de l'Océan des Tempêtes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;8;8;4.9;4.9;4;1100;3333;0.1375;-----^-----;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;NE of Mons Gruithuisen Gamma;Description ALPO : Hémisphérique. Taille moyenne.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRUITHUISEN GAMMA 2;TH3665N4134W;3665N4134W;Formation répertoriée;Dôme;TH;Volcan;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gruithuisen Gamma n° 2;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et naturalistee;Allemagne;allemand;Allemand;19;19 ème siècle;Haltenberg;1774;?;1852;Observateur de la Lune la croyant habitée. Auteur de la théorie de l'origine météoritique des cratères lunaires en 1840.;-41,34940038;318,65;41 ° 21 '  Ouest;36,65533927;36 ° 39 '  Nord;Face visible;Nord - Ouest;Partie Nord de l'Océan des Tempêtes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;5;5;3;3;2,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;E of Mons Gruithuisen Gamma;Description ALPO : Petit dôme. Hémisphérique.;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GRUITHUISEN ZETA;TH3559N3938W;3559N3938W;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gruithuisen Zeta n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome et naturalistee;Allemagne;allemand;Allemand;19;19 ème siècle;Haltenberg;1774;?;1852;Observateur de la Lune la croyant habitée. Auteur de la théorie de l'origine météoritique des cratères lunaires en 1840.;-39,38580148;320,61;39 ° 23 '  Ouest;35,59133528;35 ° 35 '  Nord;Face visible;Nord - Ouest;Partie Nord de l'Océan des Tempêtes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;3;3;1.8;1.8;1,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;On Gruithuisen Zeta;Description ALPO : Petit complexe de dômes. Hémisphérique. Au moins 2 cratères-puits sommitaux. ;;;;Non décrit;3;Formation très intéressante;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;100;Instruments 100 mm de diamètre;Instruments 200 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GUTENBERG 1;TH961S3881E;961S3881E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gutenberg n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Imprimeur;Allemagne;allemand;Allemand;15;15 ème siècle;Mayence;1398;Mayence;1468;Inventeur des caractères typographiques en plomb et de la presse à  imprimer vers 1440. Imprima la première Bible en série. Anobli en 1465 par l'archevàªque de Mayence.;38,81459037;38,81;38 ° 49 '  Est;-9,613438289;9 ° 37 '  Sud;Face visible;Sud - Est;Partie Est de la Mer de la Fécondité;48;Messier;190;;323C 328C 131C 135C/S;Non décrit;IV-065-H3 IV-072-H3;13;13;7.9;7.9;6,5;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;O du cratère Gutenberg;Description ALPO : Base irrégulière. Pentes assez abruptes. 2 cratères au sommet.;;;;Non décrit;3;Formation très intéressante;5;5 jours après la Nouvelle Lune;4 jours après la Pleine Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GUTENBERG 2;TH897S3902E;897S3902E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gutenberg n° 2;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Imprimeur;Allemagne;allemand;Allemand;15;15 ème siècle;Mayence;1398;Mayence;1468;Inventeur des caractères typographiques en plomb et de la presse à  imprimer vers 1440. Imprima la première Bible en série. Anobli en 1465 par l'archevàªque de Mayence.;39,02869313;39,03;39 ° 2 '  Est;-8,974797569;8 ° 58 '  Sud;Face visible;Sud - Est;Partie Est de la Mer de la Fécondité;48;Messier;190;;323C 328C 131C 135C/S;Non décrit;IV-065-H3 IV-072-H3;6,2;6.2;3.8;3.8;3,1;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;O du cratère Gutenberg;Description ALPO : Non confirmé.;;;;Non décrit;3;Formation très intéressante;4;4 jours après la Nouvelle Lune;3 jours après la Pleine Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GYLDEN 1;TH568S5E;568S5E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gylden n° 1;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Suède;suédois;Suédois;19;19 ème siècle;Helsinki;1841;Stockholm;1896;Directeur de l'observatoire de Stockholm. Travaux sur les librations lunaires et les perturbations planétaires.;0,057578648;0,06;0 ° 57 '  Est;-5,681588951;5 ° 41 '  Sud;Face visible;Sud - Est;Secteur du cratère Ptolémée;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;Non décrit;IV-101-H3 IV-108-H3;6;6;3.6;3.6;3;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Glydén;Description ALPO : Non confirmé.;;;;Non décrit;3;Formation très intéressante;7;Premier Quartier;6 jours après la Nouvelle Lune;50;Lunette 50 mm;Instruments 100 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GYLDEN 2;TH522S28E;522S28E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gylden n° 2;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Suède;suédois;Suédois;19;19 ème siècle;Helsinki;1841;Stockholm;1896;Directeur de l'observatoire de Stockholm. Travaux sur les librations lunaires et les perturbations planétaires.;0,28767369;0,29;0 ° 43 '  Est;-5,221138957;5 ° 13 '  Sud;Face visible;Sud - Est;Secteur du cratère Ptolémée;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;Non décrit;IV-101-H3 IV-108-H3;2,5;2.5;1.5;1.5;1,2;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Glydén;Description ALPO : Non confirmé.;;;;Non décrit;3;Formation très intéressante;7;Premier Quartier;6 jours après la Nouvelle Lune;150;Instruments 150 mm de diamètre;Instruments 300 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GYLDEN 3;TH522S5E;522S5E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gylden n° 3;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Suède;suédois;Suédois;19;19 ème siècle;Helsinki;1841;Stockholm;1896;Directeur de l'observatoire de Stockholm. Travaux sur les librations lunaires et les perturbations planétaires.;0,057534506;0,06;0 ° 57 '  Est;-5,221138957;5 ° 13 '  Sud;Face visible;Sud - Est;Secteur du cratère Ptolémée;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;Non décrit;IV-101-H3 IV-108-H3;2,5;2.5;1.5;1.5;1,2;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Glydén;Description ALPO : Hémispherique.;;;;Non décrit;3;Formation très intéressante;7;Premier Quartier;6 jours après la Nouvelle Lune;150;Instruments 150 mm de diamètre;Instruments 300 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
DOME GYLDEN 4;TH493S17E;493S17E;Formation répertoriée;Dôme;TH;Bouclier volcanique;Volcanisme extrusif;Non déterminé;Pas de données;Non applicable;Dôme Gylden n° 4;ALPO (1976);Non approuvé par l'UAI;Non nommé;Non nommé;Non nommé;Astronome;Suède;suédois;Suédois;19;19 ème siècle;Helsinki;1841;Stockholm;1896;Directeur de l'observatoire de Stockholm. Travaux sur les librations lunaires et les perturbations planétaires.;0,172526786;0,17;0 ° 50 '  Est;-4,93353123;4 ° 56 '  Sud;Face visible;Sud - Est;Secteur du cratère Ptolémée;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;Non décrit;IV-101-H3 IV-108-H3;2,5;2.5;1.5;1.5;1,2;Hauteur non trouvée;Hauteur non trouvée;Hauteur inconnue. Calcul impossible.;Hauteur inconnue. Dessin impossible.;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;A l'intérieur du cratère Glydén;Description ALPO : Non confirmé.;;;;Non décrit;3;Formation très intéressante;7;Premier Quartier;6 jours après la Nouvelle Lune;150;Instruments 150 mm de diamètre;Instruments 300 mm de diamètre;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
