NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;OESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Arago 10;Domo;Sin determinar;Domo de Arago nº 10;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.093.559.973;20 º 56 '  Este;8.916.796.253;8 º 55 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;9.6;3.6;5.8;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NNO del cráter Arago;Volcán;Volcanismo extrusivo;Base redonda, profundo cratercillo en la cumbre, uno de los tres domos alineados al NO de Arago A;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago 11;Domo;Sin determinar;Domo de Arago nº 11;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.157.244.626;21 º 34 '  Este;9.148.857.422;9 º 9 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;7;3.6;4.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NO del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Alrededor del tamaño of Arago D;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago 12;Domo;Sin determinar;Domo de Arago nº 12;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;214.778.659;21 º 29 '  Este;9.613.438.289;9 º 37 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;6;3.6;3.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;N del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Gran domo alrededor del tamaño del cráter Arago, uno de los tres domos alineados al NO de Arago A;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago 2;Domo;Sin determinar;Domo de Arago nº 2;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;220.054.411;22 º 0 '  Este;5.451.319.812;5 º 27 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;3;5;1.8;3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Arago;Volcán;Volcanismo extrusivo;Elíptico, posible cráter de cratercillo en la cumbre;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;100;Refractor de 100 mm;Reflector de 200 mm
Arago 3;Domo;Sin determinar;Domo de Arago nº 3;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.169.758.262;21 º 42 '  Este;5.508.878.671;5 º 31 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Sobre el tamaño del cráter Arago E;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Arago 4;Domo;Sin determinar;Domo de Arago nº 4;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.195.474.041;21 º 57 '  Este;5.739.170.477;5 º 44 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Sobre el tamaño del cráter Arago D;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Arago 5;Domo;Sin determinar;Domo de Arago nº 5;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.208.612.063;22 º 5 '  Este;5.911.950.197;5 º 55 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Sobre el tamaño del cráter Arago D;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Arago 6;Domo;Sin determinar;Domo de Arago nº 6;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.227.767.057;22 º 17 '  Este;602.716.656;6 º 2 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;E del cráter Arago;Escudo volcánico;Volcanismo extrusivo;No descrito;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Arago 7;Domo;Sin determinar;Domo de Arago nº 7;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.216.074.267;22 º 10 '  Este;6.200.037.133;6 º 12 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;O del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Pequeño, hemisférico, domo marino;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Arago 8;Domo;Sin determinar;Domo de Arago nº 8;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.416.249.576;24 º 10 '  Este;8.337.279.189;8 º 20 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Arago;Escudo volcánico;Volcanismo extrusivo;Forma un doble domo con un segundo domo;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Arago 9;Domo;Sin determinar;Domo de Arago nº 9;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.122.561.825;21 º 14 '  Este;8.568.979.552;8 º 34 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;6;8.2;3.6;5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NNO del cráter Arago;Volcán;Volcanismo extrusivo;Cratercillo en la cumbre, hemisférico, uno de los tres domos alineados al NO de Arago A;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago A 1;Domo;Sin determinar;Domo de Arago A nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;2.141.362.781;21 º 25 '  Este;7.469.592.316;7 º 28 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;15;24;9.1;14.6;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Arago a;Volcán;Volcanismo extrusivo;Grande y complejo domo marino, norte de Arago y sobre el tamaño del cráter Arago, gran profundo cratercillo en la cumbre;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago B 1;Domo;Sin determinar;Domo de Arago B nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;1.993.297.819;19 º 56 '  Este;6.084.783.887;6 º 5 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;20;23.29;12.1;14.1;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;Arago b;Volcán;Volcanismo extrusivo;Bien conocido, hemisférico, domo complejo, múltiples cratercillos en la cumbre;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Arago D 1;Domo;Sin determinar;Domo de Arago D nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y físico;Francia;francés;19;Siglo IX;Estagel;1786;París;1853;;239.836.777;23 º 59 '  Este;8.511.041.375;8 º 31 '  Norte;Norte - Este;Parte Este de Mare Tranquilitatis;35;Arago;278;1c2 / 2h3;343C 148C 154C;MM86;IV-085-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Arago D;Escudo volcánico;Volcanismo extrusivo;Forma un doble domo con un segundo domo;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;999;Sin determinar;Sin determinar
Aratus C 1;Domo;Sin determinar;Domo de Aratus C nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Poeta;Grecia;griego;-4;Siglo IV AC;Soles;315 AC;Macedonia;245 AC;Autor de un poema sobre la astronomía y sobre los fenómenos meteorológicos. Autor del nombre de 48 constelaciones conocidas en la antigüedad.;8.481.651.015;8 º 29 '  Este;2.276.795.896;22 º 46 '  Norte;Norte - Este;Región de Montes Apenninus;22;Conon;322;1f6;357C 003C 161C 167N;;IV-102-H3;14;14;8.5;8.5;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S de los cráteres Aratus C+D;Escudo volcánico;Volcanismo extrusivo;No descrito;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Archimedes 1;Domo;Sin determinar;Domo de Archimedes nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Matemático y físico;Grecia;griego;-3;Siglo III AC;Siracusa;287 AC;Siracusa;212 AC;Pupilo de Euclides. Cálculo de Pi. Trabajos en geometría. Inventor de la polea y la palanca. Fundador de la estática y la hidrostática.;-3.528.816.754;3 º 32 '  Oeste;2.451.931.648;24 º 31 '  Norte;Norte - Oeste;Región de Montes Apenninus;22;Conon;330;1h7 / 2g1 / 5b8 / 6a2;003N 009N 174N 179N 183N;ST01/01  MM32 L100/027;IV-109-H3 IV-109-M IV-110-H1 IV-115-H1;?;?;?;?;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Archimedes;Escudo volcánico;Volcanismo extrusivo;Domo de tierra montañosa en Montes Archimedes;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;999;Sin determinar;Sin determinar
Archytas G 1;Domo;Sin determinar;Domo de Archytas G nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Científico y estadista;Grecia;griego;-5;Siglo V AC;Tarente;428 AC;Tarente;347 AC;Amigo pitagórico de Platón. Inventor de la cometa y otras máquinas voladoras.;1.223.050.912;1 º 13 '  Este;5.579.178.755;55 º 48 '  Norte;Norte - Este;Limbo Norte de la Luna;4;Archytas;395;2f6;357N 003N 009N 154N 161N 167N 174N;;IV-104-H1 IV-116-H1;17;17;10.3;10.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Archytas G;Volcán;Volcanismo extrusivo;Doble domo, 2 colinas en el cráter en el flanco Oeste del domo, en Mare Frigoris;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Aristillus 1;Domo;Sin determinar;Domo de Aristillus nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Grecia;griego;-3;Siglo III AC;?;alrededor del 280 AC;?;?;Vivió en Alejandría;3.938.500.545;3 º 56 '  Este;307.971.408;30 º 48 '  Norte;Norte - Este;Región Norte del cráter Archimedes;12;Aristillus;332;1g8 / 2f2 / 5a8 / 6a2;357N 003N 009N 167N 174N 179N 183N;ST01/01  MM32;IV-110-H1;35;35;21.3;21.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SE del cráter Aristillus;Volcán;Volcanismo extrusivo;Hemisférico;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Binoculares de 10x;Refractor de 50 mm
Aristoteles 1;Domo;Sin determinar;Domo de Aristoteles nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Filósofo;Grecia;griego;-4;Siglo IV AC;Estagira;384 AC;Chalcis;322 AC;Científico universal. Creador de la Lógica. Tutor de Alejandro Magno. Trabajos en animales y rocas.;2.529.834.304;25 º 18 '  Este;5.218.551.149;52 º 11 '  Norte;Norte - Este;Limbo Norte de la Luna;5;Aristoteles;372;2d5;343N 351N 143N 148N 154N 161N;ST08/00  MM71;IV-092-H1 IV-104-H1 IV-103-H3 IV-098-H3 IV-110-H3;5.5;5.5;3.3;3.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;NE del cráter Aristoteles;Escudo volcánico;Volcanismo extrusivo;En el cráter Aristotles eyecciones blancas, domo elíptico marino con cumbre brillante estrecha;3;Formación muy interesante;6;6 días después de la Luna Nueva;5 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Baily A 1;Domo;Sin determinar;Domo de Baily A nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo y matemático;Inglaterra;inglés;19;Siglo IX;Newbury;1774;Londres;1844;Fundados de la Compañía Astronómica de Londres en 1836. Determinación de la densidad de la Tierra. Descubriror del fenómeno de los 'granos de Baily' durante el eclipse solar de 1836.;2.854.054.507;28 º 32 '  Este;4.713.848.779;47 º 8 '  Norte;Norte - Este;Limbo Nor-Noreste de la Luna;6;Strabo;368;2b5 / 4h6;334N 343N 131N 135N 143N 148N;;IV-091-H3 IV-086-H3;25;40;15.2;24.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Baily A;Escudo volcánico;Volcanismo extrusivo;Perfil bajo, hemisférico, domo marino;3;Formación muy interesante;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Beaumont 1;Domo;Sin determinar;Domo de Beaumont nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Geólogo;Francia;francés;19;Siglo IX;Canon;1798;Canon;1874;Ingeniero de Minas. Autor de un mapa geológico de Francia junto con Dufrénoy. Secretario de la Academia de las Ciencias. Autor de un método de datación de las capas rocosas;2.863.181.757;28 º 38 '  Este;-1.939.021.239;19 º 23 '  Sur;Sur- Este;Borde Sur de Mare Nectaris;58;Fracastorius;196;13a4 / 15g4;334C/S 343C 135S 146S 148S;MM114;IV-077-H2;13.7;13.7;8.3;8.3;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;S del cráter Beaumont;Escudo volcánico;Volcanismo extrusivo;Probablemente una colina de las tierras altas;3;Formación muy interesante;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
Beer 1;Domo;Sin determinar;Domo de Beer nº 1;ALPO 1976;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Alemania;alemán;19;Siglo IX;Berlín;1797;Berlín;1850;Colaborador de Mädler. Autor de un mapa de la Luna en 1837 y otro del planeta Marte;-887.447.709;8 º 52 '  Oeste;2.655.136.936;26 º 33 '  Norte;Norte - Oeste;Parte Sur-Este de Mare Imbrium;21;Timocharis;334;5c7 / 6b1;018N 179N 183N;;IV-115-H1 IV-122-H1 IV-114-H3;6.2;6.2;3.8;3.8;?;?;Altura desconocida. Imposible de calcular.;Altura desconocida. Imposible de dibujar.;SO del cráter Beer;Escudo volcánico;Volcanismo extrusivo;Vertientes empinadas, domo marino hemisférico en Mare Imbrium;3;Formación muy interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
