GLO_WORD;GLO_TEXT
BAHNUMLAUF;"Zeit, welche für den Umlauf eines Himmelskörpers um seinen Zentralkörper nötig ist. Es gibt die Formen SIDERISCHER UMLAUF (sideral revolution) und SYNODISCHER UMLAUF (synodic revolution).
BASALT;Eruptivgestein, welches aus erstarrter LAVA entdanden ist und von Magma hervorgebracht wurde. Verschiedenen Arten wurden in Mondgestein gefunden, welches von den Apollomissionen zur Erde gebracht wurde.
BERG;Mondberge wurden generell bei der Entstehung der MEERe erzeugt. Ihre Höhe kann bis 6000 Meter (20,000 feet) reichen. Sie sind manchmal isoliert (MONS) verbunden in BERGGEBIETen (MONTES).
BERGRÜCKENSYSTEM;Verschiedenen Formationen FALTIGER BERGRÜCKEN, lokalisiert auf der Oberfläche des selben Mond - MEERes.
BODEN;Innerer Teil der CRATERFÖRMIGEN FORMATION, einschließlich der Basis der WÄLLE.
BUCHT;MEERestyp und kleines, ausgedehntes Gebiet mit flachem, dunklen BODEN, eingeschlossen in KONTINENTen oder in ein MEER verwendet wurde.
CALDERA;Großer VULKANKRATER.
CATENA;Lateinisches Word, welches in der International Astronomical Union (IAU) genutzt wurde, um Kraterketten zu bezeichnen.
COLONGITUDE;Mathematische Daten, entnommen aus existierenden Tabellen, um die SELENOGRAPHISCHE LONGITUDE desf MORGEN TERMINATOR oder ABEND TERMINATOR herauszufinden.
CONTINENT;Siehe Kontinent.
CRATER;Meistens kreisförmige Formation, die von Meteoriteneinschlägen herrührt. CRATERFÖRMIGE FORMATIONen  werden in DBMOON, CRATER genannt, deren Durchmesser mehr als 8 km (5 miles) beträgt. LÄNGE und BREITE sind gleich, mit einigen Ausnahmen (z.B. Schiller).
CRATERFÖRMIGE SHAPED FORMATION;Craterförmige Formationen wurden durch Meteoriteneinschläge erzeugt (CRATER, KLEINE CRATER and UMWANDETE FLÄCHEn). Sie werden erzeugt aus WÄLLENn, die Gebiete umfassen, die WÄLLE fallen zum inneren BODEN hin ab.
CRATER SHAPED FORMATION; siehe CRATERFÖRMIGE FORMATION.
DBMOON;Die Datenbasis des Virtual Moon Atlas, geschrieben von Christian Legrand.
DOME;Siehe KUPPE;
DOMES NETWORK;Siehe KUPPENSYSTEM.
DORSA;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation BERGRÜCKENSYSTEM verwendet wurde.
DORSUM;Lateinischer Terminus, welcher von der International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation FALTIGER BERGRÜCKEN verwendet wurde.
DREIVIERTEL MOND;Populäre Bezeichnung für den nicht vollständig vollen Mond zwischen der Mondphase ERSTES VIERTEL und VOLLMOND, und zwischen VOLLMOND und der Mondphase LETZTES VIERTEL.
ERDSCHEIN;In Anlehnung an MONDSCHEIN für gedachte hypothetische Mondbewohner.
ERSTES VIERTEL;Mondscheibe, wenn sie zur Hälfte von der Sonne beleuchtet wird, etwa 7 Tage nach NEUMOND. Das erste Viertel kann am Abend beobachtet  werden. Für einen Beobachter von der Erde aus sind Mond und Sonne 90° voneinander getrennt.
FALTIGER BERGRÜCKEN; Bergiger und linearer Kamm mit saichter Böschung und geringer HÖHE. Ihre Herkunft ist wahrscheinlich vulkanisch.
FLOOR;Siehe BODEN.
FLUCHTGESCHWINDIGKEIT;Geringste Geschwindigkeit, welche es gestattet, der Gravitation eines Himmelskörpers zu entkommen.
GEBUNDENE ROTATION;Wenn die ROTATION eines Himmelskörpers gleich lange dauert wie sein BAHNUMLAUF um einen anderen Himmelskörper, so zeigt sich einem hypothetischen Beobachter auf dem zweiten Himmelskörper immer die gleiche Seite des umlaufenden. Das ist für den Mond der Fall, der immer die SICHTBARE SEITE der Erde zuwendet.
GOLF;Siehe BUCHT.
HÖHE;In DBMOON eine Formation, die höher liegt als die RELATIVE MONDHÖHE, welche als Referenz für die Gebiete genutzt wird.
IAU;International Astronomical Union.
KAP;Kap oder Vorgebirge, welches in eine flache Ebene hineinreicht und auf der anderen Seite mit einer höheren Gegend verbunden ist.
KLEINER CRATER;CRATERFÖRMIGE FORMATION mit kleinem Durchmesser, kugelförmiger Gestalt und gerundetem BODEN verwendet wurde.
KNOTENLINIE;Eine Linie, welche die Schnittpunkte der Mondbahn und der EKLIPTIK verbindet. Es gibt den AUFSTEIGENDEN KNOTEN und den ABSTEIGENDEN KNOTEN. Die Knotenlinie wird in 18.61 Jahren einmal komplett durchlaufen.
KONTINENT;Großes, bergiges oder aufgewühltes Gebie auf der Mondoberfläche.
KRATER;Siehe CRATER
KUPPE;Form von Mondbergen, gesichert als vulkanische Formation. Einige von ihnen haben eine CALDERA auf ihrem Gipfel. Kuppendurchmesser liegen zwischen  8 und 16 km (5 and 10 miles) und ihre HÖHE ist ist kleiner als einige hundert Meter.
KUPPENSYSTEM;Großer Komplex von Bergkuppen, welche im gleichen Mondgebiet liegen.
LACUS;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation SEE verwendet wurde.
LETZTES VIERTEL;Mondscheibe, wenn sie zur Hälfte von der Sonne beleuchtet wird, etwa 7 Tage vor NEUMOND. Das erste Viertel kann am Morgen beobachtet  werden. Für einen Beobachter von der Erde aus sind Mond und Sonne 90° voneinander getrennt.
LATITUDE LIBRATION;(Breitenlibration)Weil die Neigung der MONDBAHN sich von der der Erdbahn um die Sonne unterscheidet, ist es möglich kleine Bereiche des Nordens und des Südens der RÜCKSEITE des Mondes zu beobachten.
LAVA;Durch hohe Temperaturen verflüssigtes Gestein, welches aus vulkanischen Formationen ausfloß. Lava ist eine essentieller Bestandteil der Mond-MEERe.
LIBRATION;Scheinbare Oszillation des Mondes für einen Beobachter auf der Erde. Durch diesen Effekt, ist es möglich, einen kleinen Teil der RÜCKSEITE zu beobachten. Es existieren 3 verschiedene Librationen: LONGITUDE LIBRATION, LATITUDE LIBRATION and DIURNAL LIBRATION (Tägliche Libration).
LIBRATIONS ZONE;Grenzt die SICHTBARE SEITE von der RÜCKSEITE ab und liegt etwa 90° West und 90° Ost und wird alternierend verdeckt, duch die Mond - LIBRATIONen.
LONGITUDE LIBRATION;(Längenlibration)Stimmt mit der ROTATIONSGESCHWINDIGKEIT überein und ist unterschiedlich zur BAHNUMLAUFsgeschwindigkeit (Revolution)des Mondes, die Longitude Libration erlaubt einem Beobachter von der Erde aus, die Ost- und Westgrenze der RÜCKSEITE des Mondes zu sehen.
LUNA;Sowjetische Sondenserie.
LUNACHOD;Sowjetische Mondfahrzeuge, welche von zwei LUNAsonden auf der Mondoberfläche abgesetzt wurden.
LUNAR NOMENCLATURE;Verzeichnis von Namen der Mondformationen, welche offiziell von der International Astronomical Union (IAU) akzeptiert werden.
LUNAR ORBITER;Americanische Mondsonde, welche den Mond umkreist.
LUNAR TOPONOMY;Herkunft der Namen der Mondformationen.
MARE;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation MEER verwendet wurde.
MASCON;"Gebildet aus ""MASs CONcentration"". Massenkonzentration, lokalisiert unter den Oberflächen der Mondmeere in welchen die Massendichte höher ist als die mittlere. Es könnte sich um Überreste des Meteoriten handeln, der das MEER erzeugte."
MEER;Weite, flache und dunkle Gebiete, welche faltigen Bergrücken, Rillen und isolierte KRATER tragen. Sie sind von BASALTischer LAVA erzeugt worden, welche aus dem Mondinneren floß.
MERIDIAN;Imaginäre Linie, welche die Mondpole verbindet und zur Bestimmung des Wertes für die SELENOGRAPHISCHE LÄNGE der Mondformationen.
MOND MONAT;Auch SYNODISCHER MONAT oder SYNODISCHER UMLAUF genannt. Zeitperiode zwischen zwei NEUMONDen.
MONS;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation isolierter BERG.
MONTES;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation BERGGEBIET.
MONDFINSTERNIS;Verdunkelung der Mondscheibe, wenn diese den Erdschatten passiert. Dieses Phänomen ereignet sich bei VOLLMOND, wenn Sonne, Erde und Mond auf einer Linie liegen.
MORGEN TERMINATOR;Der Morgen Terminator ist das Gebiet, in welchem die Sonne aufgegangen ist. Für einen Beobachter auf der Erde kann er zwischen NEUMOND und VOLLMOND am Abend beobachtet werden.
NEUMOND ;MONDPHASE wenn der Mond die von der Sonne nicht beleuchtete Seite zuwendet und damit unsichtbar wird. der Mond befindet sich dann zwischen Sonne und Erde. Startpunkt ein eines neuen MOND MONATs und einer möglichen SONNENFINSTERNIS.
OZEAN;"Dieser Name wurde von Riccioli für nur ein Mond-MEER vergeben: ""Ozean der Stürme""."
OCEANUS;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation OZEAN verwendet wurde.
PALUS;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation SUMPF verwendet wurde.
PARALLELKREIS;(Auch Breitenkreis) Imaginäre Linie, parallel zum Mondäquator, wird zur Bestimmung der SELENOGRAPHISCHEN BREITE einer Mondformation genutzt.
PARTIELLE FINSTERNIS;Eine partielle Finsternis der Sonne oder des Mondes entsteht, wenn der bedeckende Himmelskörper den Bedeckten nicht vollständig abdeckt.
PERIGÄUM;Der erdnaheste Punkt eines Himmelskörpers, der die Erde umkreist.
PHASE;Das Aussehen des Mondes, welches durch die veränderliche Beleuchtung durch die Sonne hervorgerufen wird und durch die veränderliche TERMINATORposition auf der Mondkugel. Vier Hauptphasen sind definiert: NEUMOND, ERSTES VIERTEL, VOLLMOND, LETZTES VIERTEL.
PHASENWINKEL;Winkel zwischen der Erde / Sonne und Erde / Mond Achse. Wird genutzt, um den von der Sonne BELEUCHTETER ANTEIL zu beschreiben.
PROMONTORIUM;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation KAP verwendet wurde.
RANGER;Amerikanische Sonden, welche auf den Mond fielen.
REGOLITH;Die Staubschicht der Mondoberfläche, welche unter dem andauernden Meteoritenbombardement durch Zerrieb der Scteinschicht entstand, besteht daraus.
RELATIVE MONDHÖHE;Die Höhen in DBMOON sind relative Höhen auch nur HÖHE genannt. Sie geben die Höhe der Formation im Vergleich zu ihrer Umgebung an.
RILLE;Lineare und gewellte Formation, meistens in einem MEER enthalten. Sie sind mit Sicherheit alte LAVAflüsse oder alte LAVAtunnel, deren Decke eingebrochen ist.
RILLEN NETZWERK;Verzweigte und verbundene Mond - RILLEn, welche gemeinsam entstanden sind.
RIMA;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation RILLE verwendet wurde.
RIMAE;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation RILLEN NETZWERK verwendet wurde.
RINGFÖRMIGE FINSTERNIS;Eine Art der TOTALEN FINSTERNIS. Wenn der Mond seine größte Entfernung zur Erde hat, kann die Sonne nicht vollständig von der Mondscheibe bedeckt werden und ein leuchtender Ring wird sichtbar.
ROTATION;Zeit, die ein Himmelskörper, für einen externen Beobachter, für eine komplette Rotation um seine Achse benötigt.
RÜCKSEITE;Teil der Mondoberfläche, welche auf der anderen Seite der Mondkugel gelegen ist und von der Erde aus nie beobachtet werden kann. Ein schmaler Bereich der Rückseite kann von der Erde aus sichtbar werden, wenn eine günstige LIBRATION eintritt.
RUPES;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation ABHANG verwendet wurde.
SEE;MEERestyp und kleines, ausgedehntes Gebiet mit flachem und dunklem BODEN, vollständig in einen KONTINENT eingeschlossen.
SELENODÄSIE;Zweig der Astronomie, der die Oberflächenform, deren Größe und gravitative Einflüsse des Mondes behandelt.
SELENOGRAPHISCHE KOORDINATEN;Datensatz, welcher sich aus SELENOGRAPHISCHer LÄNGE und SELENOGRAPHISCHer BREITE zusammensetzt und zur Lokalisierung von Formationen auf dem Mond genutzt wird.
SELENOGRAPHISCHE BREITE ;(Latitude) Die Selenographische Breite einer Formation wird in Winkelgrad gemessen. Norden ist oben, Süden ist unten, wenn der Mond mit blosem Auge beobachtet wird. Breitengrade, welche sich unterhalb des Mondäquators befinden sind negativ.
SELENOGRAPHISCHE LÄNGE; (Longitude)Die Selenographische Länge einer Formation wird in Winkelgrad gemessen. Osten ist rechts, Westen ist links, wenn der Mond mit blosem Auge beobachtet wird. Längengrade, welche sich westlich des MondMERIDIANs befinden sind negativ.
SELENOGRAPHIE;Zweig der Astronomie, der die Mondoberläche kartographiert. Er schließt auch die Beschreibung der Mondformationen mit ein und die Entwicklung einer NOMENKLATUR.
SICHTBARE SEITE;Diese Seite der Mondkugel inst von der Erde aus immer sichtbar.
SIDERISCHER MONAT;Auch SIDERISCHER UMLAUF genannt. Zeitdauer zwischen den gleichen Positionen in Bezug auf die Fixsterne.
SIDERISCHER UMLAUF;Zeit, welche für einen Himmelskörper nötig ist, um einen kompletten Umlauf für einen Beobachter audf der zu vollenden, in Bezug auf die Position der Fixsterne.
SINUS;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation GOLF oder BUCHT eines MondMEERes verwendet wurde.
SONNENFINSTERNIS;Verdunkelung der Sonnenscheibe hinder der Mondscheibe, während einiger seltener NEUMONDstellungen, wenn Sonne, Mond und Erde genau auf einer Linie liegen.
SURVEYOR;Amerikanische Sonden, welche auf dem Mond landeten.
SYNODISCHER MONAT;Auch MOND MONAT oder SYNODISCHER UMLAUF genannt. Zeitperiode zwischen zwei NEUMONDen.
SYNODISCHER UMLAUF;Auch LUNATION oder MOND MONAT. Zeitraum zwischen zwei identischen Mond PHASEn.
TAL;Rechteckige Formation, welche durch Einbrüche des Bodens entstanden ist, oder durch einen mächtigen Meteoriteneinschlag.
TERMINATOR; Zone auf der Mondscheibe, zwischen dem beleuchteten und dem dunklen Teil. Der MORGEN TERMINATOR kann zwischen NEUMOND und VOLLMOND am Abend und der ABEND TERMINATOR am Morgen  zwischen VOLLMOND und NEUMOND beobachtet werden.
TOTALE FINSTERNIS;Eine totale Finsternis von Sonne oder Mond entsteht, wenn der bedeckende Körper den zu bedeckenden Körper vollständig bedeckt.
UMWANDETE FLÄCHE;CRATERFÖRMIGE FORMATION mit großem Durchmesser (mehr als 80 km - 50 miles) und flachem, sich weitenden BODEN.
VALLIS;Lateinischer Terminus, welcher von der  International Astronomical Union (IAU) zur offiziellen Bezeichung der Formation TAL verwendet wurde.
VOLLMOND;Aussehen der Mondscheibe, wenn sie von der Sonne vollständig beleuchtet wird. Diese MondPHASE entsteht, wenn Sonne, Erde und Mond auf einer Linie stehen.
WALL;"Teil einer CRATERFÖRMIGEn FORMATION, beginnt im umleigenden Gebiet und verläuft entlang einer Rille. Ihr Aussehen reicht von ""flach"" bis ""sehr zerwühlt", es gibt auch Radiale Täler."
WALLS;"Wände. Teil einer CRATERFÖRMIGEn FORMATION, gelegen zwischen Abhängen, Gipfeln und den BODEN. Ihre HÖHE variiert zwischen ""geringe Höhe"" ( <1.000 m ) und ""sehr hoch"" ( >4.000 m )."
ZUNEHMENDER MOND;Populäre Bezeichnung für die Zeitperiode zwischen NEUMOND und VOLLMOND, einschließlich ERSTES VIERTEL.
