NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ABENEZRA B;Cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;10.1;10.10 ° Est;-20.8;20.8 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABENEZRA C;Cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;11.1;11.10 ° Est;-21.3;21.3 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;44;44;26;26;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
ABENEZRA D;Piccolo cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;9.7;09.70 ° Est;-21.7;21.7 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;8;8;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABENEZRA E;Cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;9.4;09.40 ° Est;-21.4;21.4 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABENEZRA F;Piccolo cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;10.3;10.30 ° Est;-21.5;21.5 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABENEZRA G;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;11;11.00 ° Est;-20.5;20.5 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABENEZRA H;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;12.8;12.80 ° Est;-21.1;21.1 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;4;4;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;Faccia visibile
ABENEZRA J;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;10.7;10.70 ° Est;-19.9;19.9 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABENEZRA P;Cratere;;Abraham Bar Rabbi ben Ezra;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo e astronomo;Spagna;spagnolo;12;12° secolo;?;1092;?;1167;??;9.9;09.90 ° Est;-19.9;19.9 ° Sud;Sud-Est;Regione Occidentale del cratere Catharina;56;Azophi ?;??;Formazione non indicata;Formazione non indicata;;;44;44;26;26;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
ABULFEDA A;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;10.8;10.80 ° Est;-16.4;16.4 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA B;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;16.4;16.40 ° Est;-14.5;14.5 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;15;15;9;9;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA BA;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;16.8;16.80 ° Est;-14.6;14.6 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;13;13;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA C;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;10.9;10.90 ° Est;-12.8;12.8 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;17;17;10;10;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA D;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;9.5;09.50 ° Est;-13.2;13.2 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;20;20;12;12;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;Faccia visibile
ABULFEDA E;Piccolo cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;10.2;10.20 ° Est;-16.7;16.7 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;6;6;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA F;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;13;13.00 ° Est;-16.2;16.2 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;13;13;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA G;Piccolo cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;9;09.00 ° Est;-13.1;13.1 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;7;7;4;4;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA H;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;9.6;09.60 ° Est;-13.8;13.8 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA J;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;10;10.00 ° Est;-15.5;15.5 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA K;Piccolo cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;10.6;10.60 ° Est;-14.9;14.9 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA L;Piccolo cratere;Eratosteniano o Copernicano (da -3.2 miliardi di anni ad oggi) ?;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;10.7;10.70 ° Est;-14.1;14.1 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;5;5;3;3;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA M;Piccolo cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;12.1;12.10 ° Est;-16.2;16.2 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;10;10;6;6;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
ABULFEDA N;Cratere;;Isma'il Abu al-Fida;(Mädler 1837 o UAI 19.. ??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Arabia;arabo;14;14° secolo;Damasco;1273;Hamah;1331;Principe della dinastia degli Ayyubides. Autore della 'Storia' che descrive i lavori di Ibn al-Athir.;12.2;12.20 ° Est;-15.1;15.1 ° Sud;Sud-Est;Regione ad Est del cratere Ptolemaeus;45;Andel ?;??;Formazione non indicata;Formazione non indicata;;;14;14;8;8;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;;;;;0;Nessuna valutazione;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;Faccia visibile
