NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
AL-BAKRI;Crater;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Abu Ubayd Abd Allah al-Bakri (ex Tacquet A);(??);Not named;Not named;Not named;Geographer;Araby;arabian;11;11 th century;Cordoue;1040;Cordoue;1094;Specialist of the North Africa and Arabia.  Author of a 'Dictionary of Geography' and a 'Geographical description of the known world';20,2;20.2° East;14,3;14.3° North;North-East;East part of Mare Tranquillitatis;35;Arago;284;1c4;343N/C 148C 154C 161C;;;12;12;7;7;1000;3000;0,0833;A________________________A;Isolated circular formation.;Few steep slopes supporting 2 lines of North South oriented crests to the South.;Few high walls.;Extensive flat floor filled with lava.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor
ALBATEGNIUS;Walled plain;Nectarian (From -3.92 billions years to -3.85 billions years);Muhammad ibn al-Battani;Riccioli (1651);Ferdinandi III Imp. Rom.;Mons Didymus;Albategnius;Astronomer;Araby;arabian;9;9 th century;Harran;858;Qasr al Djiss;929;Author of the 'Zidj' improving considerably astronomical knowledge of his period. Measure of the obliquity of the Ecliptique.;4,1;4.1° East;-11,2;11.2° South;South-East;Ptolemaeus crater region;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;139;139;82;82;0;0;0,0287;A___________________________________________________________________________A;Damaged circular formation.;Steep slopes riddled with craterlets.;High walls ridden by many craters whose Klein to the West and Albategius B to the North.;Large flat floor.  White spot to the West.  Central mountain.   Depressions and craterlets.;4;Exceptional formation;7;First Quarter;6 days after Full Moon;5;Naked eye;10x binoculars
ALDRIN;Craterlet;Birth period not found;Edwin E. Aldrin (ex Sabine B);(??);Not named;Not named;Not named;Astronaut;U. S. A.;american;20;20 th century;?;1930;?;Alive;Pilot of the LEM of the mission Apollo 11.  Second man to have walked on the Moon on 21 July 1969.;22,1;22.1° East;1,4;1.4° North;North-East;East part of Mare Tranquillitatis;35;Arago;276;;;;;3;3;2;2;600;1800;0,1765;A__________A;Isolated circular formation with bowl shape.;Few steep slopes.;Few high walls.;Rounded floor.;1;Low interest or difficult formation;5;5 days after New Moon;4 days after Full Moon;100;100 mm reflector;200 mm reflector
ALEXANDER;Walled plain;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Alexandre le Grand;Birt / Lee (1865);Mons Aemus;Not named;Calippus;King;Macedony;macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;13,5;13.5° East;40,3;40.3° North;North-East;North of Mare Serenitatis region;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;85;85;50;50;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Completely wrecked formation.  Triangular form.;Very damaged slopes supporting Calippus to the South-West.;LFew high walls collapsed to the East.;Flat floor filled with dark lava.  Hills, rilles and craterlets.  Two white spots.;2;Pretty interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
ALFRAGANUS;Crater;Copernician (From -1.1 billions years to present days);Muhammad ibn Kathir Al-Farrhanï;(??);Not named;Not named;Not named;Astronomer;Persia;persian;9;9 th century;Fergana;?;?;?;Author of a 'Book of the science of stars and celestial movements '.;19;19.0° East;-5,4;5.4° South;South-East;Theophilus crater North-West region;46;Theophilus;236;13b6;343C 148C 154C 161C;;IV-089-H3 IV-084-H3;22;22;13;13;3830;11600;0,1824;A__________A;Bright circular formation with rays.;Steep slopes supporting Alfraganus E and H to the North and Alfraganus K and M to the East.;Very high walls.;Few extensive and flat floor.;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor
ALHAZEN;Crater;Lower Imbrian (From -3.85 billions years to -3.8 billions years);Ibn al-Haytham (or Abu Ali al-Hasan);Schröter (1802);Not named;Not named;Not named;Mathematician;Araby;arabian;10;10 th century;Bassora;965;Le Caire;1039;Discoverer of laws of reflection, refraction and propagation of the light.  Author of 92 known works with many about astronomy.;71,8;71.8° East;15,9;15.9° North;North-East;Moon East-North-East limb;27;Plutarch;229;3b4;291N 303C Q1E Q4E 099N I05N;MM96;;34;34;20;20;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation located on the East slope of Mare Crisium.;Pretty steep slopes.;High walls in light terraces.;Flat floor.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ALIACENSIS;Crater;Typical Nectarian (From -3.92 billions years to -3.85 billions years);Pierre d'Ailly;Riccioli (1651);Elisabethae Palat. Fil.;Mons Antilibanus;Aliacensis;Geographer and theologian;France;french;14;14 th century;Compiègne;1350;Avignon;1420;Author of a work on the reform of the Church in 1416 and of 'Imago Mundi' ,work evoking the sphericity of the Earth.;5;5.0° East;-30,6;30.6° South;South-East;Tycho crater East region;65;Walter;122;10a8 / 13f1 / 14e8;"357S 003S 161S 167S 174S	";;IV-107-H3 IV-101-H1 IV-100-H3;82;82;48;48;3700;11200;0,0463;A______________________________________________A;Circular formation forming a remarkable couple with Werner.;Steep slopes supporting Werner to the North-West, a couple of craters to the South-East and Aliacensis B to the West.;Very high walls supporting an anonymous crater to the South.;Flat floor.  Small mountain off-center.  Wrinkle ridges and craterlets.;3;Very interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor
ALMANON;Crater;Nectarian (From -3.92 billions years to -3.85 billions years);Abd Allah al-Ma'mun;Riccioli (1651);Isenburgi;Mons Antitaurus;Almanon;Caliph;Persia;persian;9;9 th century;Bagdad;786;Tarsus;833;Son of Harun Al Raschid. Organizer of the translation in Arabic of scientific and philosophical works of old Greek authors.;15,2;15.2° East;-16,8;16.8° South;South-East;East of Catharina crater region;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;51;51;30;30;2480;7500;0,0506;A__________________________________________A;Circular formation.;Pretty steep slopes overlapped to the North-East by Almanon C, to the South by Almanon A and B, and supporting Catena Abulfeda to the North.;Walls highetr to the East than to the West.;Pretty flat floor.  Hills and line of crests. Craterlets.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
AL-MARRAKUSHI;Craterlet;Copernician (From -1.1 billions years to present days) ?;Al-Marrakushi (ex Langrenus D);(??);Not named;Not named;Not named;Astronomer;Araby;arabian;13;13 th century;?;?;?;1262;??;55,8;55.8° East;-10,4;10.4° South;South-East;East part of Mare Fecunditatis;48;Messier;0;15c5 / 15c6;309C/S 119C 124C;;;9;9;5;5;1110;3400;0,1388;A______________A;Circular formation with bowl shape.;Few steep slopes supporting a double craterlet to the West and a triple craterlet to the North.;Few high walls.;Rounded floor.;2;Pretty interesting formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor
ALPETRAGIUS;Crater;Nectarian (From -3.92 billions years to -3.85 billions years) ?;Nur ed-din al Betrugi;Riccioli (1651);Mazarinii;Mons Phoenix;Alpetragius;Astronomer;Araby;arabian;12;12 th century;?;?;?;?;Tried to improve the system of Ptolemee.;-4,5;4.5° West;-16;16.0° South;South-West;Arzachel crater region;55;Arzachel;164;9a4 / 13g4;009S 018C/S 174S 17/9C 183S;MM139;IV-108-H2;41;41;24;24;3900;11800;0,0975;A_____________________A;Circular formation situated between Alphonsus and Arzachel.;Steep slopes supporting the ghost crater Alpetragius X to the North-West, and Alpetragius M and N to the South-East.;Very high walls in terraces.;Tormented floor little widened.  Important central mountain.;4;Exceptional formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor
ALPHONSUS;Crater;Nectarian (From -3.92 billions years to -3.85 billions years);Alphonse X (or Alphonse le Sage);Riccioli (1651);Ludovici XIV Reg. Fran.;Mons Masicytis;Alphonsus;King;Castille;castillan;13;13 th century;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-2,8;2.8° West;-13,4;13.4° South;South-West;Ptolemaeus crater region;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;121;121;71;71;2730;8300;0,0231;A______________________________________________________________________________________________A;Circular formation composing a remarkable trio with Ptolemaeus and Arzachel.  Several observed transcient phenomena whose a gaseous emission spectra obtained by Kozyrev in November 1958.;Tormented steep slopes riddled with craterlets.;High walls in terraces.;Flat floor to the North, tormented to the South with black spots.  Central mountain.  Craterlets and hills.  Contains Rimae Alphonsus.;4;Exceptional formation;7;First Quarter;6 days after Full Moon;5;Naked eye;10x binoculars
AMEGHINO;Craterlet;Birth period not found;Florentino Ameghino (ex Apollonius C);(??);Not named;Not named;Not named;Historian;Italy;italian;19;19 th century;?;1854;?;1911;??;57;57.0° East;3,3;3.3° North;North-East;Moon East limb;38;Neper;229;3b1;309C 112S 119C;;;9;9;5;5;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Isolated circular formation with bowl shape.;Pretty steep slopes.;Few high walls.;Rounded floor.;1;Low interest or difficult formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor
AMMONIUS;Craterlet;Copernician (From -1.1 billions years to present days) ?;Ammonios dit Saccas (ex Ptolemaeus A);(??);Not named;Not named;Not named;Philosopher;Greece;greek;3;3 rd century;?;?;?;?;Founder of a new Plato school also called School of Alexandrie.;-0,8;0.8° West;-8,5;8.5° South;South-West;Ptolemaeus crater region;44;Ptolemaeus;206;13g6;003C 174C 179C;;;9;9;5;5;1850;5600;0,2056;A_________A;Circular formation with bowl shape situated in the arena of Ptolemaeus.;Few steep slopes.;Pretty high walls.;Rounded floor.;2;Pretty interesting formation;7;First Quarter;6 days after Full Moon;50;50 mm refractor;100 mm refractor
AMONTONS;Craterlet;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Guillaume Amontons;(??);Not named;Not named;Not named;Physicist;France;french;17;17 th century;Paris;1663;Paris;1705;Inventor of many devices as several thermometers, a pyrometer, a rotary pump and a telegraph with luminous signals. Member of the Academy of Sciences in 1699.;46,8;46.8° East;-5,3;5.3° South;South-East;East part of Mare Fecunditatis;48;Messier;231;;181C;;;3;3;2;2;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Isolated circular formation with bowl shape.;Few steep slopes with bright spot to the East;Few high walls.;Rounded floor.;1;Low interest or difficult formation;4;4 days after New Moon;3 days after Full Moon;100;100 mm reflector;200 mm reflector
AMUNDSEN;Crater;Nectarian (From -3.92 billions years to -3.85 billions years);Roald Amundsen;(??);Not named;Not named;Not named;Explorer;Norway;norwegian;20;20 th century;Hvitsen;1872;Arctique;1928;Specialist of the Antarctic. With the 'Fram', first to have reached the terrestrial South pole on December 14th 1911, and to have overflown the North pole in 1926 in dirigible.  Disapeared in researching the expedition of Nobile.;82;82.0° East;-84,5;84.5° South;South-East;Moon South limb;73;Moretus;44;14d1;323S 343S Q3S Q4S 099S 105S 112S;;IV-106-H1 IV-118-H1 IV-130-H1 IV-008-M IV-044-H1 IV-005-H1 IV-058-H1 IV-154-H1 IV-070-H1 IV-082-H1 IV-094-H1 IV-094-M;109;109;64;64;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;Steep slopes supporting an anonymous crater to the East and another one to the South.;High walls in terraces.;Flat floor.  Central mountain.;2;Pretty interesting formation;2;2 days after New Moon;1 day after Full Moon;5;Naked eye;10x binoculars
ANAXAGORAS;Crater;Copernician (From -1.1 billions years to present days);Anaxagore;(??);Not named;Not named;Not named;Philosopher;Greece;greek;-6;6  th century BC;Clazomenes;500 BC;Lampsaque;428 av JC;Creator of the first school of philosophy in Athens. Tutor of Pericles, Euripide and Socrate.  Explanation of eclipses.  Works in anatomy.;-10,1;10.1° West;73,4;73.4° North;North-West;Moon North limb;4;Archytas;400;2g7 / 2g8 / 6b8;009N 018N 024N 029N 036N 100N 106N 143N 161N 174N 179N 183N;MM69;IV-128-H2 IV-140-H2 IV-116-H2;53;53;31;31;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Overlaps the West wall of Goldschmidt.  Circular formation.  Rays.;Steep slopes.;High walls.;Tormented floor.  Small central mountain.;3;Very interesting formation;8;1 day after First Quarter;Last Quarter;30;10x binoculars;50 mm refractor
ANAXIMANDER;Crater;Pre-Nectarian (From -4.55 billions years to -3.92 billions years)?;Anaximandre;(??);Not named;Not named;Not named;Philosopher and astronomer;Greece;greek;-7;7  th century BC;Milet;611 BC;Milet;547 av JC;Inventor of the gnomon.  Recommended a flat circular Earth.  Map of the world known.  Discovery of the Polar Star and of the obliquity of the Ecliptique.;-51,3;51.3° West;66,9;66.9° North;North-West;Moon North-North-West limb;2;Pythagoras;405;6 e7;055N 061N 067N 075N 080N 201N 205N 213N;;IV-164-H2 IV-176-H2;70;70;41;41;2800;8500;0,0412;A____________________________________________________A;Wrecked formation.;Few steep slopes crushed by Carpenter to the North and by Anaximander D to the South.;Few high walls ridden by a craterlet to the North and gobbled to the South.;Flat floor in communication with Anaximander D to the South. Craterlets and line of crest.;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;30;10x binoculars;50 mm refractor
ANAXIMENES;Crater;Pre-Nectarian (From -4.55 billions years to -3.92 billions years) ?;Anaximene;(??);Not named;Not named;Not named;Philosopher;Greece;greek;-6;6  th century BC;Milet;585 BC;Milet;528 av JC;Has recommended a flat Earth.;-44,5;44.5° West;72,5;72.5° North;North-West;Moon North limb;3;Plato;402;6d8; 055N 061N 075N, 080N 191N, 205N, 213N, 233N;;IV-164-H2 IV-152-H2 IV-176-H2;82;82;48;48;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation.;Pretty steep slopes supporting Anaximenes G to the North-East and Philolaus to the East.;Few high walls.;Flat floor filled with lava.  Craterlets.;2;Pretty interesting formation;11;4 days after First Quarter;3 days after Last Quarter;30;10x binoculars;50 mm refractor
ANDEL;Crater;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Karel Andil;Müller (1935);Not named;Not named;Not named;Astronomer;Czecoslovaquia;czech;20;20 th century;?;1884;?;1947;Selenographer of Czech kingdom.  Author of a map of the Moon in 1926.;12,4;12.4° East;-10,4;10.4° South;South-East;East of Ptolemaeus crater region;45;Andel;202;13d5;351C 357C 154C 161C 167C;;IV-096-H2 IV-089-H2;36;36;21;21;1300;3900;0,0371;A__________________________________________________________A;Damaged circular formation.;Steep slopes tormented to the South and to the South-West, and supporting Andel M and N to the North-West, Andel A and D to the South-West, and Andel S P and E to the South.;Walls more high to the East than to the West, collapsed to the South and ridden by Andel G to the South.;Tormented floor with hills.  Craterlets whose an important near the center.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
ANGSTROM;Craterlet;Eratosthenian (From -3.2 billions years to -1.1 billions years) ?;Anders Jonas Angström;Krieger / König (1912);Not named;Not named;Not named;Physicist;Sweden;swedish;19;19 th century;Lödgö;1814;Uppsala;1874;First measure of wavelength.  Specialist of the spectral analysis.;-41,6;41.6° West;29,9;29.9° North;North-West;Region between Oceanus Procellarum and Mare Imbriumm;19;Brayley;338;5h8 / 6h2 / 8c3;048N 055N 205N 213N;;IV-145-H1 IV-144-H3 IV-151-H1;10;10;6;6;2030;6200;0,2071;A_________A;Bright circular formation with bowl shape.;Few steep slopes.;Pretty high walls.;Rounded floor.;2;Pretty interesting formation;10;3 days after First Quarter;2 days after Last Quarter;50;50 mm refractor;100 mm refractor
ANSGARIUS;Crater;Nectarian (From -3.92 billions years to -3.85 billions years);H. Ansgar;Mädler (1837);Not named;Not named;Not named;Theologian;Germany;german;9;9 th century;?;801;?;865;??;79,7;79.7° East;-12,7;12.7° South;South-East;Moon East limb;49;Langrenus;188;15a5;291S Q4E 099C;;IV-178-H1 IV-017-M IV-027-H2;97;97;57;57;?;?;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;Steep slopes.;High walls in terraces.;Flat floor widened.  Craterlets.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor
ANVILLE;Crater;Eratosthenian (From -3.2 billions years to -1.1 billions years) ?;Jean-Baptiste Bourguignon d'Anville (ex Taruntius G);(??);Not named;Not named;Not named;Geographer;France;french;18;18 th century;Paris;1697;Paris;1783;Author of a map of Africa in 1727, an atlas of China and an ancient 'Geography' .  Member of the Academy of Sciences in 1773.;49,5;49.5° East;1,9;1.9° North;North-East;North edge of Mare Fecunditatis;37;Taruntius;229;3c2;315C 119N/C 124C 131C;;;12;12;7;7;1800;5500;0,1636;A___________A;Isolated circular formation with bowl shape situated on Dorsum Cushman.;Few steep slopes.;Pretty high walls.;Rounded floor.;2;Pretty interesting formation;4;4 days after New Moon;3 days after Full Moon;50;50 mm refractor;100 mm refractor
APIANUS;Crater;Nectarian (From -3.92 billions years to -3.85 billions years);Peter Bienewitz (or Apianus);(??);Not named;Not named;Not named;Mathematician and astronomer;Germany;german;16;16 th century;Leisnig;1495;Ingolstadt;1552;Calculation of the longitude from movements of the Moon.  Author of 'the Astronomicum Caesareum'.;7,9;7.9° East;-26,9;26.9° South;South-East;East of Catharina crater region;56;Azophi;120;13e2 / 14e8;351S 357S 003S 161S 167S;;IV-096-H1 IV-101-H1 IV-100-H3;65;65;38;38;2080;6300;0,033;A_________________________________________________________________A;Circular formation.;Tormented slopes supporting many small craters, whose double crater Apianus A to the North-West and Apianus B to the South-East.;Walls in light terraces.;Flat floor filled with lava.  Craterlets;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor
APOLLONIUS;Crater;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Apollonios de Perga;Mädler (1837);Not named;Mons Sanctus;Not named;Mathematician and astronomer;Greece;greek;-3;3 rd century BC;Alexandrie;262 BC;Pergame;180 av JC;Author of an important work of synthesis on the conical.;61,1;61.1° East;4,5;4.5° North;North-East;Moon East limb;38;Neper;228;3b2;303C 309C 099C I05N 112C 119C;;;54;54;32;32;1700;5200;0,0321;A___________________________________________________________________A;Circular formation situated in a mountainous region.;Pretty steep slopes supporting Daly and Apollonius F to the North-West and Cartan and Apollonius H to the South-West.;Pretty high walls in light terraces supporting Apollonius M and E;Flat floor filled with lava.;3;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;30;10x binoculars;50 mm refractor
