NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU;
AL-BAKRI;Cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Abu Ubayd Abd Allah al-Bakri (ex Tacquet A);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Geografo;Arabia;arabo;11;l'11° secolo;Cordoba;1040;Cordoba;1094;Specialista del Nord Africa e dell'Arabia.  Autore di un 'Dizionario di Geografia' e di una 'Descrizione geografica del mondo conosciuto'.;20.2;20.2° Est;14.3;14.3° Nord;Nord-Est;Parte Orientale del Mare Tranquillitatis;35;Arago;284;1c4;343N/C 148C 154C 161C;;;12;12;7;7;1000;3000;0.0833;A________________________A;Formazione circolare isolata.;Versanti poco scoscesi su cui si trovano 2 linee di creste, orientate in direzione Nord Sud, a Sud.;Pareti poco elevate.;Esteso fondo piatto riempito di lava.;2;Formazione abbastanza interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
ALBATEGNIUS;Circo;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);Muhammad ibn al-Battani;Riccioli (1651);Ferdinandi III Imp. Rom.;Mons Didymus;Albategnius;Astronomo;Arabia;arabo;9;9° secolo;Harran;858;Qasr al Djiss;929;Autore dello 'Zidj', migliorando considerevolmente le conoscenze astronomiche del suo tempo. Misura dell'obliquità dell'Eclittica.;4.1;4.1° Est;-11.2;11.2° Sud;Sud-Est;Regione del cratere Ptolemaeus;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;139;139;82;82;0;0;0.0287;A___________________________________________________________________________A;Formazione circolare danneggiata.;Versanti scoscesi disseminati di piccoli crateri.;Alte pareti su cui si sovrappongono molti crateri tra cui Klein ad Ovest e Albategius B a Nord.;Vasto fondo piatto.  Macchia bianca ad Ovest.  Montagna centrale.   Depressioni e piccoli crateri.;4;Formazione eccezionale;7;al Primo Quarto;6 giorni dopo la Luna Piena;5;Occhio nudo;Binocolo 10x;
ALDRIN;Piccolo cratere;Periodo di formazione sconosciuto;Edwin E. Aldrin (ex Sabine B);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronauta;USA;americano;20;20° secolo;?;1930;?;Vivente;Pilota del LEM della missione Apollo 11. Secondo uomo ad aver calpestato il suolo lunare il 21 Luglio 1969.;22.1;22.1° Est;1.4;1.4° Nord;Nord-Est;Parte Orientale del Mare Tranquillitatis;35;Arago;276;;;;;3;3;2;2;600;1800;0.1765;A__________A;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;
ALEXANDER;Circo;Pre-Imbriano (da -4.55 miliardi di anni a -3.85 miliardi di anni) ?;Alessandro Magno;Birt / Lee (1865);Mons Aemus;Nome non assegnato;Calippus;Re;Macedonia;macedone;-4;4° secolo a.C.;?;356 a.C.;Babilonia;323 a.C.;Re di Macedonia dal 336 al 323 a.C. Ha intrapreso l'espansione del suo regno verso l'India. Ha conquistato Babilonia e incendiato Persepolis.;13.5;13.5° Est;40.3;40.3° Nord;Nord-Est;Regione a Nord del Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;85;85;50;50;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione completamente distrutta.  Di forma triangolare.;Versanti molto rovinati su cui si trova Calippus a Sud-Ovest.;Pareti poco elevate, collassate ad Est.;Fondo piatto riempito di lava scura.  Collinette, solchi e piccoli crateri.  Due macchie bianche.;2;Formazione abbastanza interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
ALFRAGANUS;Cratere;Copernicano (da -1.1 miliardi di anni ad oggi);Muhammad ibn Kathir Al-Farrhanï;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Persia;persiano;9;9° secolo;Fergana;?;?;?;Autore del libro 'Libro della Scienza delle stelle e dei movimenti celesti'.;19;19.0° Est;-5.4;5.4° Sud;Sud-Est;Regione Nord-Occidentale del cratere Theophilus;46;Theophilus;236;13b6;343C 148C 154C 161C;;IV-089-H3 IV-084-H3;22;22;13;13;3830;11600;0.1824;A__________A;Brillante formazione circolare con raggi.;Versanti scoscesi su cui si trovano Alfraganus E e H a Nord e Alfraganus K e M ad Est.;Pareti molto elevate.;Fondo piatto e poco esteso.;3;Formazione molto interessante;5;5 giorni dopo la Luna Nuova;4 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
ALHAZEN;Cratere;Imbriano Inferiore (da -3.85 miliardi di anni a -3.8 miliardi di anni);Ibn al-Haytham (o Abu Ali al-Hasan);Schröter (1802);Nome non assegnato;Nome non assegnato;Nome non assegnato;Matematico;Arabia;arabo;10;10° secolo;Bassora;965;Il Cairo;1039;Ha scoperto le leggi della riflessione, della rifrazione e della propagazione della luce.  Autore di 92 lavori conosciuti, di cui molti riguardanti l'astronomia.;71.8;71.8° Est;15.9;15.9° Nord;Nord-Est;Bordo Est-Nord-Est della Luna;27;Plutarch;229;3b4;291N 303C Q1E Q4E 099N I05N;MM96;;34;34;20;20;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare situata sul versante Est del Mare Crisium.;Versanti abbastanza scoscesi.;Alte pareti leggermente terrazzate.;Fondo piatto.;3;Formazione molto interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
ALIACENSIS;Cratere;Nectariano Tipico (da -3.92 miliardi di anni a -3.85 miliardi di anni);Pierre d'Ailly;Riccioli (1651);Elisabethae Palat. Fil.;Mons Antilibanus;Aliacensis;Geografo e teologo;Francia;francese;14;14° secolo;Compiègne;1350;Avignone;1420;Autore di un lavoro sulla riforma della Chiesa nel 1416 e di 'Imago Mundi', un lavoro che evoca la sfericità della Terra.;5;5.0° Est;-30.6;30.6° Sud;Sud-Est;Regione Orientale del cratere Tycho;65;Walter;122;10a8 / 13f1 / 14e8;357S 003S 161S 167S 174S;;IV-107-H3 IV-101-H1 IV-100-H3;82;82;48;48;3700;11200;0.0463;A______________________________________________A;Formazione circolare che costituisce una notevole coppia con Werner.;Versanti scoscesi su cui si trovano Werner a Nord-Ovest, una coppia di crateri a Sud-Est e Aliacensis B ad Ovest.;Pareti molto alte, su cui si trova un cratere anonimo a Sud.;Fondo piatto.  Piccola montagna decentrata.  Dorsali e piccoli crateri.;3;Formazione molto interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
ALMANON;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);Abd Allah al-Ma'mun;Riccioli (1651);Isenburgi;Mons Antitaurus;Almanon;Califfo;Persia;persiano;9;9° secolo;Bagdad;786;Tarso;833;Figlio di Harun Al Raschid. Organizzatore della traduzione in arabo delle opere scientifiche e filosofiche degli antichi autori greci.;15.2;15.2° Est;-16.8;16.8° Sud;Sud-Est;Regione ad Est del cratere Catharina;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;51;51;30;30;2480;7500;0.0506;A__________________________________________A;Formazione circolare.;Versanti abbastanza scoscesi su cui si sovrappongono Almanon C a Nord-Est, Almanon A e B a Sud, e su cui si trova la Catena Abulfeda a Nord.;Pareti più più elevate ad Est che ad Ovest.;Fondo abbastanza piatto.  Collinette e una linea di creste. Piccoli crateri.;3;Formazione molto interessante;6;6 giorni dopo la Luna Nuova;5 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
AL-MARRAKUSHI;Piccolo cratere;Copernicano (da -1.1 miliardi di anni ad oggi) ?;Al-Marrakushi (ex Langrenus D);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Astronomo;Arabia;arabo;13;13° secolo;?;?;?;1262;??;55.8;55.8° Est;-10.4;10.4° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier;0;15c5 / 15c6;309C/S 119C 124C;;;9;9;5;5;1110;3400;0.1388;A______________A;Formazione circolare a forma di conca.;Versanti poco scoscesi su cui si trovano un doppio piccolo cratere ad Ovest e un triplo piccolo cratere a Nord.;Pareti poco elevate.;Fondo arrotondato.;2;Formazione abbastanza interessante;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
ALPETRAGIUS;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni) ?;Nur ed-din al Betrugi;Riccioli (1651);Mazarinii;Mons Phoenix;Alpetragius;Astronomo;Arabia;arabo;12;12° secolo;?;?;?;?;Cercò di migliorare il sistema tolemaico.;-4.5;4.5° Ovest;-16;16.0° Sud;Sud-Ovest;Regione del cratere Arzachel;55;Arzachel;164;9a4 / 13g4;009S 018C/S 174S 17/9C 183S;MM139;IV-108-H2;41;41;24;24;3900;11800;0.0975;A_____________________A;Formazione circolare situata tra Alphonsus e Arzachel.;Versanti scoscesi su cui si trovano il cratere fantasma Alpetragius X a Nord-Ovest, e Alpetragius M e N a Sud-Est.;Pareti molto alte e terrazzate.;Fondo tormentato poco esteso.  Imponente montagna centrale.;4;Formazione eccezionale;7;al Primo Quarto;6 giorni dopo la Luna Piena;30;Binocolo 10x;Rifrattore da 50 mm;
ALPHONSUS;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);Alfonso X (o Alfonso il Saggio);Riccioli (1651);Ludovici XIV Reg. Fran.;Mons Masicytis;Alphonsus;Re;Castiglia;castigliano;13;13° secolo;Toledo;1221;Siviglia;1284;Iniziatore della traduzione delle opere greche ed arabe. Coordinatore del calcolo delle 'Tavole Alfonsine', nel 1256, per sostituire le tavole astronomiche di Tolomeo.;-2.8;2.8° Ovest;-13.4;13.4° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;121;121;71;71;2730;8300;0.0231;A______________________________________________________________________________________________A;Formazione circolare che costituisce un imponente trio con Ptolemaeus e Arzachel (la famosa 'Cauda Pavonis' di Galileo).  Sono stati osservati vari fenomeni transienti i cui spettri di emissione gassosa sono stati ottenuti da Kozyrev nel Novembre 1958.;Versanti scoscesi e tormentati disseminati di piccoli crateri.;Alte pareti terrazzate.;Fondo piatto a Nord, tormentato a Sud con macchie nere.  Montagna centrale.  Piccoli crateri e colline.  Contiene Rimae Alphonsus.;4;Formazione eccezionale;7;al Primo Quarto;6 giorni dopo la Luna Piena;5;Occhio nudo;Binocolo 10x;
AMEGHINO;Piccolo cratere;Periodo di formazione sconosciuto;Florentino Ameghino (ex Apollonius C);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Storico;Italia;italiano;19;19° secolo;?;1854;?;1911;??;57;57.0° Est;3.3;3.3° Nord;Nord-Est;Bordo Orientale della Luna;38;Neper;229;3b1;309C 112S 119C;;;9;9;5;5;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti abbastanza scoscesi.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;3;3 giorni dopo la Luna Nuova;2 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
AMMONIUS;Piccolo cratere;Copernicano (da -1.1 miliardi di anni ad oggi) ?;Ammonios detto Saccas (ex Ptolemaeus A);(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo;Grecia;greco;3;3° secolo d.C.;?;?;?;?;Fondatore di una nuova scuola platonica, chiamata anche Scuola di Alessandria.;-0.8;0.8° Ovest;-8.5;8.5° Sud;Sud-Ovest;Regione del cratere Ptolemaeus;44;Ptolemaeus;206;13g6;003C 174C 179C;;;9;9;5;5;1850;5600;0.2056;A_________A;Formazione circolare a forma di conca situata nell'arena di Ptolemaeus.;Versanti poco scoscesi.;Pareti abbastanza alte.;Fondo arrotondato.;2;Formazione abbastanza interessante;7;al Primo Quarto;6 giorni dopo la Luna Piena;50;Rifrattore da 50 mm;Rifrattore da 100 mm;
AMONTONS;Piccolo cratere;Imbriano (da -3.85 miliardi di anni a -3.2 miliardi di anni) ?;Guillaume Amontons;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Fisico;Francia;francese;17;17° secolo;Parigi;1663;Parigi;1705;Inventore di molti dispositivi, tra cui vari termometri, un pirometro, una pompa rotativa, e un telegrafo a segnali luminosi. Membro dell'Accademia delle Scienze nel 1699.;46.8;46.8° Est;-5.3;5.3° Sud;Sud-Est;Parte Orientale del Mare Fecunditatis;48;Messier;231;;181C;;;3;3;2;2;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare isolata a forma di conca.;Versanti poco scoscesi con macchie brillanti ad Est.;Pareti poco elevate.;Fondo arrotondato.;1;Formazione di scarso interesse;4;4 giorni dopo la Luna Nuova;3 giorni dopo la Luna Piena;100;Riflettore da 100 mm;Riflettore da 200 mm;
AMUNDSEN;Cratere;Nectariano (da -3.92 miliardi di anni a -3.85 miliardi di anni);Roald Amundsen;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Esploratore;Norvegia;norvegese;20;20° secolo;Hvitsen;1872;Arctique;1928;Specialista dell'Antartide. Con il 'Fram', è stato il primo ad aver raggiunto per via di terra il Polo Sud il 14 Dicembre 1911, e il primo ad aver sorvolato il Polo Nord con un dirigibile nel 1926.  Scomparso durante le ricerche della spedizione di Nobile.;82;82.0° Est;-84.5;84.5° Sud;Sud-Est;Bordo Meridionale della Luna;73;Moretus;44;14d1;323S 343S Q3S Q4S 099S 105S 112S;;IV-106-H1 IV-118-H1 IV-130-H1 IV-008-M IV-044-H1 IV-005-H1 IV-058-H1 IV-154-H1 IV-070-H1 IV-082-H1 IV-094-H1 IV-094-M;109;109;64;64;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare situata nella zona delle librazioni.;Versanti scoscesi su cui si trovano un cratere anonimo ad Est e un altro a Sud.;Alte pareti terrazzate.;Fondo piatto.  Montagna centrale.;2;Formazione abbastanza interessante;2;2 giorni dopo la Luna Nuova;1 giorno dopo la Luna Piena;5;Occhio nudo;Binocolo 10x;
ANAXAGORAS;Cratere;Copernicano (da -1.1 miliardi di anni ad oggi);Anassagora;(??);Nome non assegnato;Nome non assegnato;Nome non assegnato;Filosofo;Grecia;greco;-6;6° secolo a.C.;Clazomenes;500 a.C.;Lampsaque;428 a.C.;Fondatore della prima scuola di filosofia ad Atene. Precettore di Pericle, Euripide e Socrate. Spiegazione delle eclissi. Lavori di anatomia.;-10.1;10.1° Ovest;73.4;73.4° Nord;Nord-Ovest;Bordo Settentrionale della Luna;4;Archytas;400;2g7 / 2g8 / 6b8;009N 018N 024N 029N 036N 100N 106N 143N 161N 174N 179N 183N;MM69;IV-128-H2 IV-140-H2 IV-116-H2;53;53;31;31;?;?;Altezza ignota. Calcolo impossibile.;Altezza ignota. Visualizzazione impossibile.;Formazione circolare sovrapposta alla parete Ovest di Goldschmidt.  Raggi.;Versanti scoscesi.;Alte pareti.;Fondo tormentato.  Piccola montagna centrale.;3;Formazione molto interessante;8;1 giorno dopo il Primo Quarto;all'Ultimo Quarto;30;Binocolo 10x;Rifrattore da 50 mm;
