NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
AL-BAKRI;Кратер;Имбрийский (с -3.85 миллиардов лет до -3.2 миллиардов лет) ?;Abu Ubayd Abd Allah al-Bakri (ex Tacquet A);(??);Не названо;Не названо;Не названо;географ;Аравии;Арабский;11;11-го века;Cordoue;1040;Cordoue;1094;Specialist of the North Africa and Arabia.  Author of a 'Dictionary of Geography' and a 'Geographical description of the known world';20,2;20.2° Восток;14,3;14.3° Север;Северо-Восточный;Восточная часть Mare Tranquillitatis;35;Arago;284;1c4;343N/C 148C 154C 161C;;;12;12;7;7;1000;3000;0,0833;A________________________A;Isolated circular formation.;Few steep slopes supporting 2 lines of North South oriented crests to the South.;Few high walls.;Extensive flat floor filled with lava.;2;Довольно интересное образование;5;5 дней после Новолуния;4 дня после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
ALBATEGNIUS;Равнина, окруженная валами;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);Muhammad ibn al-Battani;Riccioli (1651);Ferdinandi III Imp. Rom.;Mons Didymus;Albategnius;астроном;Аравии;Арабский;9;9-го века;Harran;858;Qasr al Djiss;929;Author of the 'Zidj' improving considerably astronomical knowledge of his period. Measure of the obliquity of the Ecliptique.;4,1;4.1° Восток;-11,2;11.2° Юг;Юго-Восточный;Район кратера Ptolemaeus;44;Ptolemaeus;204;13e5 / 13f5;357C 003C/S 161C/S 167C 174C;MM137;IV-101-H2 IV-096-H2;139;139;82;82;0;0;0,0287;A___________________________________________________________________________A;Damaged circular formation.;Steep slopes riddled with craterlets.;High walls ridden by many craters whose Klein to the West and Albategius B to the North.;Large flat floor.  White spot to the West.  Central mountain.   Depressions and craterlets.;4;Исключительное образование;7;Первая Четверть;6 дней после Полнолуния;5;Невооруженный глаз;10x бинокль
ALDRIN;Малый кратер;Период появления не определен;Edwin E. Aldrin (ex Sabine B);(??);Не названо;Не названо;Не названо;астронавт;США;Американский;20;20-го века;?;1930;?;Alive;Pilot of the LEM of the mission Apollo 11.  Second man to have walked on the Moon on 21 July 1969.;22,1;22.1° Восток;1,4;1.4° Север;Северо-Восточный;Восточная часть Mare Tranquillitatis;35;Arago;276;;;;;3;3;2;2;600;1800;0,1765;A__________A;Isolated circular formation with bowl shape.;Few steep slopes.;Few high walls.;Rounded floor.;1;Малоинтересное или сложное образование;5;5 дней после Новолуния;4 дня после Полнолуния;100;100 мм рефлектор;200 мм рефлектор
ALEXANDER;Равнина, окруженная валами;Доимбрийский (с -4.55 миллиардов лет до -3.85 миллиардов лет) ?;Alexandre le Grand;Birt / Lee (1865);Mons Aemus;Не названо;Calippus;король;Македонии;Македонский;-4;4-го века до новой эры;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;13,5;13.5° Восток;40,3;40.3° Север;Северо-Восточный;Северный район Mare Serenitatis;13;Eudoxus;350;2d3;351N 154N 161N;;IV-098-H2 IV-103-H2;85;85;50;50;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Completely wrecked formation.  Triangular form.;Very damaged slopes supporting Calippus to the South-West.;LFew high walls collapsed to the East.;Flat floor filled with dark lava.  Hills, rilles and craterlets.  Two white spots.;2;Довольно интересное образование;6;6 дней после Новолуния;5 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
ALFRAGANUS;Кратер;Коперниковский (с -1.1 миллиардов лет до наших дней);Muhammad ibn Kathir Al-Farrhanп;(??);Не названо;Не названо;Не названо;астроном;Персии;Персидский;9;9-го века;Fergana;?;?;?;Author of a 'Book of the science of stars and celestial movements '.;19;19.0° Восток;-5,4;5.4° Юг;Юго-Восточный;Северо-Западный район кратера Theophilus;46;Theophilus;236;13b6;343C 148C 154C 161C;;IV-089-H3 IV-084-H3;22;22;13;13;3830;11600;0,1824;A__________A;Bright circular formation with rays.;Steep slopes supporting Alfraganus E and H to the North and Alfraganus K and M to the East.;Very high walls.;Few extensive and flat floor.;3;Очень интересное образование;5;5 дней после Новолуния;4 дня после Полнолуния;30;10x бинокль;50 мм рефрактор
ALHAZEN;Кратер;Нижний Имбрийский (с -3.85 миллиардов лет до -3.8 миллиардов лет);Ibn al-Haytham (or Abu Ali al-Hasan);Schrцter (1802);Не названо;Не названо;Не названо;математик;Аравии;Арабский;10;10-го века;Bassora;965;Le Caire;1039;Discoverer of laws of reflection, refraction and propagation of the light.  Author of 92 known works with many about astronomy.;71,8;71.8° Восток;15,9;15.9° Север;Северо-Восточный;Востоко-Северо-Восточный лимб Луны;27;Plutarch;229;3b4;291N 303C Q1E Q4E 099N I05N;MM96;;34;34;20;20;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Circular formation located on the East slope of Mare Crisium.;Pretty steep slopes.;High walls in light terraces.;Flat floor.;3;Очень интересное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
ALIACENSIS;Кратер;Обычный Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);Pierre d'Ailly;Riccioli (1651);Elisabethae Palat. Fil.;Mons Antilibanus;Aliacensis;географ и богослов;Франции;Французский;14;14-го века;Compiиgne;1350;Avignon;1420;Author of a work on the reform of the Church in 1416 and of 'Imago Mundi' ,work evoking the sphericity of the Earth.;5;5.0° Восток;-30,6;30.6° Юг;Юго-Восточный;Восточный район кратера Tycho;65;Walter;122;10a8 / 13f1 / 14e8;357S 003S 161S 167S 174S;;IV-107-H3 IV-101-H1 IV-100-H3;82;82;48;48;3700;11200;0,0463;A______________________________________________A;Circular formation forming a remarkable couple with Werner.;Steep slopes supporting Werner to the North-West, a couple of craters to the South-East and Aliacensis B to the West.;Very high walls supporting an anonymous crater to the South.;Flat floor.  Small mountain off-center.  Wrinkle ridges and craterlets.;3;Очень интересное образование;7;Первая Четверть;6 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
ALMANON;Кратер;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);Abd Allah al-Ma'mun;Riccioli (1651);Isenburgi;Mons Antitaurus;Almanon;халиф;Персии;Персидский;9;9-го века;Bagdad;786;Tarsus;833;Son of Harun Al Raschid. Organizer of the translation in Arabic of scientific and philosophical works of old Greek authors.;15,2;15.2° Восток;-16,8;16.8° Юг;Юго-Восточный;Восточный район кратера Catharina;56;Azophi;198;13c4;351S 154S 161S 167C;;IV-089-H2 IV-096-H2;51;51;30;30;2480;7500;0,0506;A__________________________________________A;Circular formation.;Pretty steep slopes overlapped to the North-East by Almanon C, to the South by Almanon A and B, and supporting Catena Abulfeda to the North.;Walls highetr to the East than to the West.;Pretty flat floor.  Hills and line of crests. Craterlets.;3;Очень интересное образование;6;6 дней после Новолуния;5 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
AL-MARRAKUSHI;Малый кратер;Коперниковский (с -1.1 миллиардов лет до наших дней) ?;Al-Marrakushi (ex Langrenus D);(??);Не названо;Не названо;Не названо;астроном;Аравии;Арабский;13;13-го века;?;?;?;1262;??;55,8;55.8° Восток;-10,4;10.4° Юг;Юго-Восточный;Восточная часть Mare Fecunditatis;48;Messier;0;15c5 / 15c6;309C/S 119C 124C;;;9;9;5;5;1110;3400;0,1388;A______________A;Circular formation with bowl shape.;Few steep slopes supporting a double craterlet to the West and a triple craterlet to the North.;Few high walls.;Rounded floor.;2;Довольно интересное образование;3;3 дня после Новолуния;2 дня после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
ALPETRAGIUS;Кратер;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет) ?;Nur ed-din al Betrugi;Riccioli (1651);Mazarinii;Mons Phoenix;Alpetragius;астроном;Аравии;Арабский;12;12-го века;?;?;?;?;Tried to improve the system of Ptolemee.;-4,5;4.5° Запад;-16;16.0° Юг;Юго-Западный;Район кратера Arzachel;55;Arzachel;164;9a4 / 13g4;009S 018C/S 174S 17/9C 183S;MM139;IV-108-H2;41;41;24;24;3900;11800;0,0975;A_____________________A;Circular formation situated between Alphonsus and Arzachel.;Steep slopes supporting the ghost crater Alpetragius X to the North-West, and Alpetragius M and N to the South-East.;Very high walls in terraces.;Tormented floor little widened.  Important central mountain.;4;Исключительное образование;7;Первая Четверть;6 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
ALPHONSUS;Кратер;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);Alphonse X (or Alphonse le Sage);Riccioli (1651);Ludovici XIV Reg. Fran.;Mons Masicytis;Alphonsus;король;Кастильи;Кастильский;13;13-го века;Toledo;1221;Sevilla;1284;Initiator of the Greek and Arabic works translation. Coordinator of the calculation of 'Table Alphonsines' replacing astronomical tables of Ptolemee in 1256.;-2,8;2.8° Запад;-13,4;13.4° Юг;Юго-Западный;Район кратера Ptolemaeus;44;Ptolemaeus;208;9a4 / 13g5;003S 009C/S 174C/S 179C I83C;ST03/01  MM137;IV-108-H2;121;121;71;71;2730;8300;0,0231;A______________________________________________________________________________________________A;Circular formation composing a remarkable trio with Ptolemaeus and Arzachel.  Several observed transcient phenomena whose a gaseous emission spectra obtained by Kozyrev in November 1958.;Tormented steep slopes riddled with craterlets.;High walls in terraces.;Flat floor to the North, tormented to the South with black spots.  Central mountain.  Craterlets and hills.  Contains Rimae Alphonsus.;4;Исключительное образование;7;Первая Четверть;6 дней после Полнолуния;5;Невооруженный глаз;10x бинокль
AMEGHINO;Малый кратер;Период появления не определен;Florentino Ameghino (ex Apollonius C);(??);Не названо;Не названо;Не названо;историк;Италии;Итальянский;19;19-го века;?;1854;?;1911;??;57;57.0° Восток;3,3;3.3° Север;Северо-Восточный;Восточный лимб Луны;38;Neper;229;3b1;309C 112S 119C;;;9;9;5;5;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Isolated circular formation with bowl shape.;Pretty steep slopes.;Few high walls.;Rounded floor.;1;Малоинтересное или сложное образование;3;3 дня после Новолуния;2 дня после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
AMMONIUS;Малый кратер;Коперниковский (с -1.1 миллиардов лет до наших дней) ?;Ammonios dit Saccas (ex Ptolemaeus A);(??);Не названо;Не названо;Не названо;философ;Греции;Греческий;3;3-го века;?;?;?;?;Founder of a new Plato school also called School of Alexandrie.;-0,8;0.8° Запад;-8,5;8.5° Юг;Юго-Западный;Район кратера Ptolemaeus;44;Ptolemaeus;206;13g6;003C 174C 179C;;;9;9;5;5;1850;5600;0,2056;A_________A;Circular formation with bowl shape situated in the arena of Ptolemaeus.;Few steep slopes.;Pretty high walls.;Rounded floor.;2;Довольно интересное образование;7;Первая Четверть;6 дней после Полнолуния;50;50 мм рефрактор;100 мм рефрактор
AMONTONS;Малый кратер;Имбрийский (с -3.85 миллиардов лет до -3.2 миллиардов лет) ?;Guillaume Amontons;(??);Не названо;Не названо;Не названо;физик;Франции;Французский;17;17-го века;Paris;1663;Paris;1705;Inventor of many devices as several thermometers, a pyrometer, a rotary pump and a telegraph with luminous signals. Member of the Academy of Sciences in 1699.;46,8;46.8° Восток;-5,3;5.3° Юг;Юго-Восточный;Восточная часть Mare Fecunditatis;48;Messier;231;;181C;;;3;3;2;2;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Isolated circular formation with bowl shape.;Few steep slopes with bright spot to the East;Few high walls.;Rounded floor.;1;Малоинтересное или сложное образование;4;4 дня после Новолуния;3 дня после Полнолуния;100;100 мм рефлектор;200 мм рефлектор
AMUNDSEN;Кратер;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);Roald Amundsen;(??);Не названо;Не названо;Не названо;исследователь;Норвегии;Норвежский;20;20-го века;Hvitsen;1872;Arctique;1928;Specialist of the Antarctic. With the 'Fram', first to have reached the terrestrial South pole on December 14th 1911, and to have overflown the North pole in 1926 in dirigible.  Disapeared in researching the expedition of Nobile.;82;82.0° Восток;-84,5;84.5° Юг;Юго-Восточный;Южный лимб Луны;73;Moretus;44;14d1;323S 343S Q3S Q4S 099S 105S 112S;;IV-106-H1 IV-118-H1 IV-130-H1 IV-008-M IV-044-H1 IV-005-H1 IV-058-H1 IV-154-H1 IV-070-H1 IV-082-H1 IV-094-H1 IV-094-M;109;109;64;64;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Circular formation situated in the zone of librations.;Steep slopes supporting an anonymous crater to the East and another one to the South.;High walls in terraces.;Flat floor.  Central mountain.;2;Довольно интересное образование;2;2 дня после Новолуния;1 день после Полнолуния;5;Невооруженный глаз;10x бинокль
ANAXAGORAS;Кратер;Коперниковский (с -1.1 миллиардов лет до наших дней);Anaxagore;(??);Не названо;Не названо;Не названо;философ;Греции;Греческий;-6;6-го века до новой эры;Clazomenes;500 BC;Lampsaque;428 av JC;Creator of the first school of philosophy in Athens. Tutor of Pericles, Euripide and Socrate.  Explanation of eclipses.  Works in anatomy.;-10,1;10.1° Запад;73,4;73.4° Север;Северо-Западный;Северный лимб Луны;4;Archytas;400;2g7 / 2g8 / 6b8;009N 018N 024N 029N 036N 100N 106N 143N 161N 174N 179N 183N;MM69;IV-128-H2 IV-140-H2 IV-116-H2;53;53;31;31;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Overlaps the West wall of Goldschmidt.  Circular formation.  Rays.;Steep slopes.;High walls.;Tormented floor.  Small central mountain.;3;Очень интересное образование;8;1 день после Первой Четверти;Последняя Четверть;30;10x бинокль;50 мм рефрактор
ANAXIMANDER;Кратер;Донектарийский (с -4.55 миллиардов лет до -3.92 миллиардов лет)?;Anaximandre;(??);Не названо;Не названо;Не названо;философ и астроном;Греции;Греческий;-7;7-го века до новой эры;Milet;611 BC;Milet;547 av JC;Inventor of the gnomon.  Recommended a flat circular Earth.  Map of the world known.  Discovery of the Polar Star and of the obliquity of the Ecliptique.;-51,3;51.3° Запад;66,9;66.9° Север;Северо-Западный;Северо-Северо-Западный лимб Луны;2;Pythagoras;405;6 e7;055N 061N 067N 075N 080N 201N 205N 213N;;IV-164-H2 IV-176-H2;70;70;41;41;2800;8500;0,0412;A____________________________________________________A;Wrecked formation.;Few steep slopes crushed by Carpenter to the North and by Anaximander D to the South.;Few high walls ridden by a craterlet to the North and gobbled to the South.;Flat floor in communication with Anaximander D to the South. Craterlets and line of crest.;3;Очень интересное образование;11;4 дня после Первой Четверти;3 дня после Последней Четверти;30;10x бинокль;50 мм рефрактор
ANAXIMENES;Кратер;Донектарийский (с -4.55 миллиардов лет до -3.92 миллиардов лет) ?;Anaximene;(??);Не названо;Не названо;Не названо;философ;Греции;Греческий;-6;6-го века до новой эры;Milet;585 BC;Milet;528 av JC;Has recommended a flat Earth.;-44,5;44.5° Запад;72,5;72.5° Север;Северо-Западный;Северный лимб Луны;3;Plato;402;6d8;055N 061N 075N, 080N 191N, 205N, 213N, 233N;;IV-164-H2 IV-152-H2 IV-176-H2;82;82;48;48;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Circular formation.;Pretty steep slopes supporting Anaximenes G to the North-East and Philolaus to the East.;Few high walls.;Flat floor filled with lava.  Craterlets.;2;Довольно интересное образование;11;4 дня после Первой Четверти;3 дня после Последней Четверти;30;10x бинокль;50 мм рефрактор
ANDEL;Кратер;Доимбрийский (с -4.55 миллиардов лет до -3.85 миллиардов лет) ?;Karel Andлl;Mьller (1935);Не названо;Не названо;Не названо;астроном;Чехословакии;Чешский;20;20-го века;?;1884;?;1947;Selenographer of Czech kingdom.  Author of a map of the Moon in 1926.;12,4;12.4° Восток;-10,4;10.4° Юг;Юго-Восточный;Восточный район кратера Ptolemaeus;45;Andel;202;13d5;351C 357C 154C 161C 167C;;IV-096-H2 IV-089-H2;36;36;21;21;1300;3900;0,0371;A__________________________________________________________A;Damaged circular formation.;Steep slopes tormented to the South and to the South-West, and supporting Andel M and N to the North-West, Andel A and D to the South-West, and Andel S P and E to the South.;Walls more high to the East than to the West, collapsed to the South and ridden by Andel G to the South.;Tormented floor with hills.  Craterlets whose an important near the center.;3;Очень интересное образование;6;6 дней после Новолуния;5 дней после Полнолуния;30;10x бинокль;50 мм рефрактор
ANGSTROM;Малый кратер;Эратосфеновский (с -3.2 миллиардов лет до -1.1 миллиардов лет) ?;Anders Jonas Angstrцm;Krieger / Kцnig (1912);Не названо;Не названо;Не названо;физик;Швеции;Шведский;19;19-го века;Lцdgц;1814;Uppsala;1874;First measure of wavelength.  Specialist of the spectral analysis.;-41,6;41.6° Запад;29,9;29.9° Север;Северо-Западный;Район между Oceanus Procellarum и Mare Imbriumm;19;Brayley;338;5h8 / 6h2 / 8c3;048N 055N 205N 213N;;IV-145-H1 IV-144-H3 IV-151-H1;10;10;6;6;2030;6200;0,2071;A_________A;Bright circular formation with bowl shape.;Few steep slopes.;Pretty high walls.;Rounded floor.;2;Довольно интересное образование;10;3 дня после Первой Четверти;2 дня после Последней Четверти;50;50 мм рефрактор;100 мм рефрактор
ANSGARIUS;Кратер;Нектарийский (с -3.92 миллиардов лет до -3.85 миллиардов лет);H. Ansgar;Mдdler (1837);Не названо;Не названо;Не названо;богослов;Германии;Германский;9;9-го века;?;801;?;865;??;79,7;79.7° Восток;-12,7;12.7° Юг;Юго-Восточный;Восточный лимб Луны;49;Langrenus;188;15a5;291S Q4E 099C;;IV-178-H1 IV-017-M IV-027-H2;97;97;57;57;?;?;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Circular formation situated in the zone of librations.;Steep slopes.;High walls in terraces.;Flat floor widened.  Craterlets.;3;Очень интересное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
