NAME;LOCAL_NAME;LONGI_360;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;LENGTH_KM_ILCD;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
SURVEYOR 1;SURVEYOR 1;316,8;HS25000S3168000;25000S3168000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;30/05/1966;(NASA/USA);Not appliable;Surveyor 1;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-43,2;316,8;43 ° 12 '  West;-2,5;2 ° 30 '  South;Nearside;South-West;Oceanus Procellarum South-West area;40;Flamsteed;221;Not indicated;Not indicated;Not described;IV-097-H3;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 30 May 1966 / 14h 41mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Soft landing on June 2, 1966. 50 km away from planned site. 11237 pictures transmitted. Hard soil confirmation. Functionnal until october 1966. Reactivated during january 1967.;;Not described;0;Invisible formation;11;Four days after First Quarter;Three days after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNAR ORBITER 1;LUNAR ORBITER 1;199,28;HS63500N1992800;63500N1992800;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;10/08/1966;(NASA/USA);Not appliable;Lunar Orbiter 1;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-160,72;199,28;160 ° 43 '  West;6,35;6 ° 21 '  North;Farside;North-West;Invisible;No map;Farside;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 10 August 1966 / 19h 26mn (UT) from Cape Kennedy.;;Lunar orbiter which goal was to photography potential human landing sites. 1.65 m high. 1.5 m wide. Four solars panels 3.72 m span.;Lower orbit altitude 40,5 km. 42 high resolution pictures and 187 medium resolution pictures taken from 18 August to 29 August and readout from 14 September. Impact on october 29, 1966 during 577 th orbit. ;First pictures of the Earth taken from the Moon. Detection of pear shape of the Moon. No meteoritical impacts on the probe.;Not described;0;Invisible formation;Invisible;Invisible;Invisible;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
SURVEYOR 2;SURVEYOR 2;349;HS39000N3490000;39000N3490000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;20/09/1966;(NASA/USA);Not appliable;Surveyor 2;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-11;349;11 ° 0 '  West;3,9;3 ° 54 '  North;Nearside;North-West;Eratosthenes crater South area;32;Stadius;247;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 20 September 1966 / 12h 32mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Descent engine failure. Impact on September 22, 1966.;;Not described;0;Invisible formation;8;One day after First Quarter;Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNAR ORBITER 2;LUNAR ORBITER 2;240,9;HS29000N2409000;29000N2409000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;06/11/1966;(NASA/USA);Not appliable;Lunar Orbiter 2;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-119,1;240,9;119 ° 6 '  West;2,9;2 ° 54 '  North;Farside;North-West;Invisible;No map;Farside;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 6 November 1966 / 23h 21mn (UT) from Cape Kennedy.;;Lunar orbiter which goal was to photography potential human landing sites. 1.65 m high. 1.5 m wide. Four solars panels 3.72 m span.;Lower orbit altitude 49,7 km. 609 high resolution pictures (until 1 m) and 208 medium resolution pictures taken from 18 August to 25 November and readout from 17 December. Impact on October 11, 1967. ;Spectacular oblique picture of Copernicus crater.;Not described;0;Invisible formation;Invisible;Invisible;Invisible;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNA 13;LUNA 13;337,9;HS190000N3379000;190000N3379000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;21/12/1966;(USSR / NII-88 / Korolev);Not appliable;Luna 13 / Lunik 13 (Class E-6M);(USSR / NII-88 / Korolev);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-22,1;337,9;22 ° 6 '  West;19;19 ° 0 '  North;Nearside;North-West;West North West Moon limb;17;Struve;303;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 21 December 1966  / 10h 19 mn (TU) from BaÃ¯konour.;;Probe 1700 kg. Trip during 3.5 days. Retrorocket activated from 75 km altitude during 46s. Lunar surface probe contained in a balloon released few meters before impact. Soft landing on December 24, 1966 at 18h 01mn (UT).;Egg shaped surface probe 150 kg with instruments and cameras. Four solar panels opened after landing. Sealed container with internal heating and batteries. TV camera with orientable mirror. ;3 panoramas. Physical measurements on soil with a penetrator, a dynamograph and a radiations sensitometer. Functionnal until 31 December.;Not described;0;Invisible formation;9;Two days after First Quarter;One day after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNAR ORBITER 3;LUNAR ORBITER 3;268,3;HS146000N2683000;146000N2683000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;05/02/1967;(NASA/USA);Not appliable;Lunar Orbiter 3;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-91,7;268,3;91 ° 42 '  West;14,6;14 ° 36 '  North;FarSide;North-West;Invisible;VIII;Not indicated;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 5 February 1967 / 1h 17mn (UT) from Cape Kennedy.;;Lunar orbiter which goal was to photography potential human landing sites. 1.65 m high. 1.5 m wide. Four solars panels 3.72 m span.;Lower orbit altitude 55 km. 477 high resolution pictures (until 1 m) and 149 medium resolution pictures taken from 15 to 23 February and readout from 4 Mars. Impact on October 9, 1967. ;Surveyor 1 localization on the lunar surface. Film advance mechanism failure permitting only 25 % film readout.;Not described;0;Invisible formation;;Invisible;Invisible;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
SURVEYOR 3;SURVEYOR 3;336,7;HS30000S3367000;30000S3367000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;17/04/1967;(NASA/USA);Not appliable;Surveyor 3;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-23,3;336,7;23 ° 18 '  West;-3;3 ° 0 '  South;Nearside;South-West;Oceanus Procellarum South-East area;42;Fra Mauro;249;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 17 April 1967 / 7h 05mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Soft landing on XXXXXXXXXXX 1966. 6315 pictures transmitted Whom an Earth eclipse on April 24, 1967. Functionnal until May 1967. Visited by Apollo 12 mission astronauts on November 1969. ;;Not described;0;Invisible formation;9;Two days after First Quarter;One day after Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
SURVEYOR 4;SURVEYOR 4;358,7;HS4000N3587000;4000N3587000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;14/07/1967;(NASA/USA);Not appliable;Surveyor 4;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-1,3;358,7;1 ° 18 '  West;0,4;0 ° 24 '  North;Nearside;North-West;Lunar disk central area;33;Triesnecker;291;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 14 July 1967 / 11h 53mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Retrorocket failure. High speed impact.;;Not described;0;Invisible formation;7;First Quarter;Six days after Full moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNAR ORBITER 5;LUNAR ORBITER 5;276,9;HS28000S2769000;28000S2769000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;02/08/1967;(NASA/USA);Not appliable;Lunar Orbiter 5;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-83,1;276,9;83 ° 6 '  West;-2,8;2 ° 12 '  South;Nearside;South-West;West Moon limb;39;Grimaldi;Not indicated;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 2 August 1967 from Cape Kennedy.;;Lunar orbiter which goal was to photography potential human landing sites. 1.65 m high. 1.5 m wide. Four solars panels 3.72 m span.;Lower orbit altitude 99 km. 633 high resolution pictures (until 2 m) and 211 medium resolution pictures taken from 6 to 18 August and readout from 27 August. Impact on January 31, 1968. ;Photographic coverage of lunar globe reaches 99 %.;Not described;0;Invisible formation;;Invisible;Invisible;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
SURVEYOR 5;SURVEYOR 5;23,2;HS14000N232000;14000N232000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;08/09/1967;(NASA/USA);Not appliable;Surveyor 5;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;23,2;23,2;23 ° 48 '  East;1,4;1 ° 24 '  North;Nearside;North-East;Mare Tranquillitatis East part;35;Arago;276;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 8 September 1967 7h 57mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Soft landing on XXXXXXXXXXX 1967. 18006 pictures transmitted. Soil composition realized with a 13 kg alpha particles analyzer on 100 cm2. Found basalt composition. Information on radar refectivity and temperature of soil. Functionnal until December 16, 1967.;;Not described;0;Invisible formation;5;Five days after New Moon;Four days after Full Moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
SURVEYOR 6;SURVEYOR 6;358,6;HS4000N3586000;4000N3586000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;07/11/1967;(NASA/USA);Not appliable;Surveyor 6;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-1,4;358,6;1 ° 24 '  West;0,4;0 ° 24 '  North;Nearside;North-West;Lunar disk central area;33;Triesnecker;291;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 7 November 1967 / 7h 39mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Soft landing on XXXXXXXXXX 1967. New lift-off to 2.5 m high and 6.5 m distant landing. 30065 pictures. Soil composition realized with a 13 kg alpha particles analyzer. Functionnal until December 14, 1967. ;;Not described;0;Invisible formation;7;First Quarter;Six days after Full moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
SURVEYOR 7;SURVEYOR 7;348,8;HS410000S3488000;410000S3488000;Registered feature;Historical site;No IAU type;Probe / Soft landing;Human action;07/01/1968;(NASA/USA);Not appliable;Surveyor 7;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-11,2;348,8;11 ° 12 '  West;-41;41 ° 0 '  South;Nearside;South-West;Tycho crater area;64;Tycho;91;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 7 January 1968 / 6h 30mn (UT) from Cape Kennedy.;;Probe featuring 330 kg equipment and 537 kg propellants. 1 retrorocket used until 97 km altitude and 3 descent engines cut at 5 m altitude. 1 TV color camera. 3 legs 4.2 m wide. Mast 3 m high with solar panels and high gain antenna.;Soft landing on XXXXXXXXXXX 1968 on crater Tycho slopes at 4500 m altitude. Soil composition realized with a 13 kg alpha particles analyzer. High aluminium percentage found different from Mare composition. 21274 pictures. Functionnal until February 20, 1968. Digs 7 tanches 40 cm deep. ;;Not described;0;Invisible formation;8;One day after First Quarter;Last Quarter;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
LUNA 15;LUNA 15;58,5;HS117000N585000;117000N585000;Registered feature;Historical site;No IAU type;Probe / Voluntary impact;Human action;13/07/1969;(USSR / MOM / Lavochkin);Not appliable;Luna 15 / Lunik 15 (Class Ye-8-5);(USSR / MOM / Lavochkin);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;58,5;58,5;58 ° 30 '  East;11,7;11 ° 42 '  North;Nearside;North-East;East Moon limb;38;Neper;263;Not indicated;Not indicated;Not described;??;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 13 July 1969 from BaÃ¯konour.;;Probe 5700 kg. Same class as future Luna 16. Competes with Apollo 11 mission. Contains a lunar landing probe 1880 kg with return to Earth rocks samples capability. Lunar orbit achieved on 17 July. 52 lunar orbits completed before landing test.;High speed impact caused by programming bugs in the gravity strength treatment module.;;Not described;0;Invisible formation;3;Three days after New Moon;Two days after Full Moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
APOLLO 11 BASE;APOLLO 11 BASE;23,5;HS7000N235000;7000N235000;Registered feature;Historical site;No IAU type;Human mission / Soft landing;Human action;16/07/1969;(NASA/USA);Not appliable;Apollo 11 mission landing base;(NASA/USA);Not IAU approved;Non existent in this period;Non existent in this period;Non existent in this period;Not appliable;Not appliable;Not appliable;20;20 th century;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;23,5;23,5;23 ° 30 '  East;0,7;0 ° 42 '  North;Nearside;North-East;Mare Tranquillitatis East part;35;Arago;276;Not indicated;Not indicated;Not described;IV-085-H1;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Launch on 16 July 1969 / 13h 32mn (TU) from Cape Kennedy. Vehicle 3,9m diameter. Command Module Columbia (CM) 3,65 m high and 5,6 t.  Service Module (SM) 7,6 m long and 23,2 t. Lunar Module Eagle (LM) 6 m high, 4,2 m large and 15,1 t whom 10,85 t propellants.;;Neil A. ARMSTRONG (Commander) Edwin E. ALDRIN (LM pilot) Michael COLLINS (CSM pilot). First human landing on July 20, 1969 at 20h 17mn 40s. First surface walk on 21 July at 2h 56mn 15s. 2h 31mn walk. Distance 250 m at 100 m maximum from LM.;21.4 kg collected rocks whom 2 drillings. Early Apollo Surface Experiments Package (EASEP) with laser reflector, sismometer, solar wind measurement. Solar panels. End of transmissions of EASEP on August 27, 1969.;Lift-off on July 21 at 17h 54mn. Surface time : 21h 26mn. Splash down on July 24 at 16h 50 mn. Mission total duration : 8d 3h 18mn.;Not described;0;Invisible formation;5;Five days after New Moon;Four days after Full Moon;999;Invisible;Invisible;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved;Not IAU approved
