GLO_WORD;GLO_TEXT
formação crateriforme;Formação em forma de cratera criada por impactos de meteoritos (<a href="#cratera">cratera</a>, <a href="#pequena cratera">pequena cratera</a> e <a href="#planície murada">planície murada</a>). Estas são compostas por <a href="#vertente">vertentes</a> ou declives que se erguem sobre as áreas circundantes, <a href="#parede">paredes</a> descendo para o interior e por um <a href="#chão">chão</a> interno.
golfo;Pequena área do mesmo tipo de um <a href="#mar">mar</a>, com um chão plano e escuro, inclusa em <a href="#continente">continentes</a> ou na orla de um <href="#mar">mar</a>.
idade da lua;Período de tempo em dias decorrido desde a última <a href="#Lua Nova">Lua Nova</a>.
lago;Terreno do tipo <a href="#mar">mar</a>, de <a href="#chão">chão</a> sombrio e plano, pouco extenso, totalmente compreendido nos <a href="#continente">continentes</a>.
lacus;Latim, termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente um lago lunar.
latitude selenográfica;A latitude das formações lunares é medida em graus decimais. O Norte está em cima e o Sul em baixo quando a Lua é observada a olho nu. As latitudes das formações situadas ao Sul do equador lunar são expressas em valores negativos.
lava;Material em fusão expelido do interior de um corpo planetário.
libração;Oscilação aparente da Lua para um observador terrestre que permite observar a zona limítrofe da face oculta. Existem 3 tipos de librações: libração em longitude, libração em latitude e libração diária.
libração em latitude;É efeito da inclinação do plano da órbita lunar relativamente ao plano da órbita terrestre.
libração em longitude;É efeito da velocidade de <a href="#rotação">rotação</a> constante da Lua e da  velocidade variável da sua <a href="#revolução">revolução</a>. A libração em longitude permite ver as zonas limítrofes Este e Oeste da Face Oculta.
libração física;Verdadeiro balançar do eixo de rotação da Lua. Está limitada a alguns minutos de arco e é devida às variações da atracção terrestre, tendo ainda em conta a heterogeneidade do interior da Lua.
linha dos nodos; Linha recta que representa a intersecção entre o plano da órbita terrestre e o plano da órbita da Lua. Ela projecta-se na esfera celeste ao nível dos nodos ascendente e descendente. Efectua uma revolução em 18.61 anos de maneira retrógrada. 
longitude selenográfica;A longitude das formações lunares é expressa em graus decimais. O Este fica situado à direita e o Oeste à esquerda para um observador terrestre que observe a Lua a olho nu. A longitude das formações lunares situadas a Oeste do meridiano central é expressa em valores negativos.
luar;Luz do Sol que chega até à Terra através do efeito reflector da superfície da Lua (vede ainda <a href="#albedo">albedo</a>).
Lua Cheia;Aspecto do disco lunar quando está completamente iluminado pelo Sol. Esta fase ocorre quando o Sol, a Terra e a Lua estão alinhados (i.e., quando é possível traçar uma linha mais ou menos recta passando pelo centro dos três).
Lua Crescente; Expressão popular que descreve o período entre a <a href="#Lua Nova">Lua Nova</a> e a <a href="#Lua Cheia">Lua Cheia</a> incluindo o <a href="#Quarto Crescente">Quarto Crescente</a>.
Lua Minguante;Expressão popular que se aplica ao período que separa a <a href="#Lua Cheia">Lua Cheia</a> da <a href="#Lua Nova">Lua Nova</a>, incluindo o <a href="#Quarto Minguante">Quarto Minguante</a>.
Lua Nova;fase durante a qual a Lua apresenta o seu disco iluminado pelo Sol invisível a partir da Terra à medida que passa entre o Sol e a Terra. Ponto de partida de uma nova <a href="#lunação">lunação</a> e período de potencial ocorrência de um <a href="#eclipse solar">eclipse solar</a>.
lunação;Janela temporal que medeia entre duas <a href="#Lua Nova">Luas Novas</a> sucessivas. Sinónimo de <a href="#mês lunar">mês lunar</A>.
luz cinza;Fenómeno lunar que ocorre entre a <a href="#Lua Nova">Lua Nova</a> e o <a href="#Quarto Crescente">Quarto Crescente</a> ou o <a href="#Quarto Minguante">Quarto Minguante</a>, quando a Lua tem a forma de um crescente. A parte não iluminada do disco lunar é moderadamente visível porque recebe a luz reflectida pela Terra. Também chamado <a href="#brilho terrestre">brilho terrestre</a>.
mar;Imensas extensões planas e sombrias onde se incluem <a href="#dorsal">dorsaIS</a>, <a href="#falha">falhas</a> e <a href="#cratera">crateras</a> isoladas. Constituídas por derrames de <a href="#lava">lavas</a> basálticas de origem interna.
mare;Latim. Termo utilizado pela União Astronómica Internacional (UAI) para designar oficialmente um <a href="#mar">mar</a> lunar.
mascon;Expressão que provém da língua inglesa e constitui uma forma abreviada de «Mass Concentration.» Concentrações de massa que repousam sob a superfície dos <a href="#mar">mares</a> lunares e nas quais a densidade da matéria é superior à média lunar. Pode tratar-se do material de meteoritos.
meridiano;Linha imaginária cujo traçado passa pelos dois pólos lunares por referência à qual é possível conhecer a longitude selenográfica de uma formação lunar.
mês anormalístico;Período de tempo que separa duas passagens da Lua pelo <a href="#perigreu">perigreu</a> da órbita lunar.
mês lunar;Chamado ainda <a href="#mês sinódico">mês sinódico</a> ou <a href="#revolução sinódica">revolução sinódica</a>. Extensão de tempo que intermedeia entre duas <a href="#Lua Nova">Luas Novas</a> sucessivas. A sua duração média é 29 dias, 12 horas e 44 minutos com uma margem de flutuação até 13 horas a mais ou a menos.
mês sideral;Equivalente para a Lua à sua revolução sideral. Extensão de tempo que intermedeia a passagem da Lua pela mesma posição aparente no céu relativamente às estrelas. Corresponde a um valor médio de 27 dias, 7 horas e 43 minutos.
mês sinódico;Chamado também <a href="#mês lunar">mês lunar</a> ou <a href="#revolução sinódica">revolução sinódica</a>. Extensão de tempo que intermedeia entre duas <a href="#Lua Nova">Luas Novas</a> sucessivas.
mons;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente uma <a href="#montanha">montanha</a> isolada.
montanha;Elevação do relevo lunar. As montanhas da Lua foram na sua maior parte criadas aquando da formação dos <a href="#mar">mares</a>. A sua <a href="#altura">altura</a> pode chegar aos 7000 metros. Elas tanto se encontram isoladas (<a href="#mons">mons</a>) como reunidas em cadeias montanhosas (<a href="#montes">montes</a>).
montes;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente uma cadeia montanhosa.
muro; Também aludido por vezes como «parede». Parte de uma formação crateriforme compreendida entre o cume das <a href="#vertente">vertentes</a> e o <a href="#chão">chão</a>. A sua <a href="#altura">altura</a> vai de «pouco elevada» (<1000m) a «muito elevada» (>4000m).
nomenclatura lunar;Conjunto dos nomes das formações lunares oficialmente reconhecido pela União Astronómica Internacional.
oceano;Designação dada a um único <a href="#mar">mar</a> lunar por Riccioli: o «Oceano das Tempestades».
oceanus; Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente o único <a href="#oceano">oceano</a> lunar.
órbita lunar; Percurso elíptico, sujeito às leis de Kepler, trilhado pela Lua em torno da Terra. No seu ponto mais próximo do nosso planeta (<a href="#perigreu">perigreu</a>) corresponde a uma distância de cerca de 356375 Km. No seu ponto mais distante (<a href="#apogeu">apogeu</a>) a 406720 Km. Em termos médios, a distância da Lua à Terra é de 384400 Km (cerca de 60 vezes o raio da última).
palus;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente um pântano lunar.
parede;Vede <a href="#muro">muro</a>.
paralelo;Linha convencional imaginária paralela ao Equador por referência à qual é permitido conhecer a <a href="#latitude selenográfica">latitude selenográfica</a> de uma formação lunar.
pequena cratera;<a href="#formação crateriforme">Formação crateriforme</a> de pequeno diâmetro (há partida menos de 10 KM) com uma forma de concha e um <a href="#chão">chão</a> arredondado.
perigreu;Ponto mais próximo da Terra na órbita elíptica de um astro que gira em torno dela.
planície murada;Formação crateriforme de grande diâmetro (a priori mais de 100 km) apresentando um <a href="#fundo">fundo</a> plano.
promotorium;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente um <a  href="#promontório">promontório</a> lunar.
promontório;Também chamado cabo. Em rigor, um promontório é um cabo formado por uma montanha.
Quarto Crescente; Aspecto do disco lunar quando está meio iluminado pelo Sol, cerca de 7 dias depois da <a href="#Lua Nova">Lua Nova</a>. O Quarto Crescente pode ser observado à noite. A Lua e o Sol estão então separado 90 graus para um observador terrestre.
Quarto Minguante;Aspecto do disco lunar com a metade iluminada pelo Sol, cerca de 7 dias depois da <a href="#Lua Cheia">Lua Cheia</a>. O Quarto Minguante observa-se de manhã. A Lua e o Sol estão a 90 graus um do outro para um observador terrestre.
rede de cúpulas;Um grande complexo de cúpulas todas localizadas numa mesma área lunar.
regolito;Camada de poeiras superficiais da Lua provocadas pela fragmentação das camadas inferiores sob o efeito do bombardeamento meteorítico permanente.
revolução;Período de tempo necessário para um corpo celeste efectuar uma volta em torno do seu próprio astro-pai. Distinguimos a <a href="#revolução sideral">revolução sideral</a> da <a href="#revolução sinódica">revolução sinódica</a> consoante o contexto.
revolução sideral;Período de tempo necessário para um corpo celeste efectuar uma volta do Céu por referência às estrelas, na perspectiva de um observador terrestre.
revolução sinódica;Também chamada <a href="#lunação">lunação</a> ou <a href="#mês lunar">mês lunar</a>. Período de tempo que intermedeia entre duas fases idênticas da Lua (i.e., ao regresso à mesma posição relativamente ao Sol).
rima;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente uma <a href="#falha">falha</a> lunar.
rimae;Latim. Termo empregue pela União Astronómica Internacional para designar oficialmente um <a href="#sistema de falhas">sistema de falhas</a> lunares.
rotação;Período de tempo necessário para um corpo celeste efectuar uma volta (girar) sobre si próprio, na óptica de um observador que lhe é exterior.
rotação síncrona;Diz-se de um astro cuja duração de rotação (em torno de si próprio) é igual à duração da sua <a href="#revolução">revolução</a> em torno do seu astro-pai. Apresentando-lhe, por conseguinte, sempre o mesmo hemisfério. É o caso da Lua que apresenta sempre a sua <a href="#face visível">face visível</a> virada para a Terra.
rupes;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente uma <a href="#escarpa">escarpa</a>.
selenita;Nome que se aplicaria a um habitante da Lua (em grego «Seléne»).
sinus;Latim. Termo empregue oficialmente pela União Astronómica Internacional (UAI) para designar um <a href="#golfo">golfo</a> lunar.
sistema de cúpulas;Conjunto, rede ou complexo de <a href="#cúpula">cúpulas</a> vulcânicas agrupadas numa mesma região lunar.
sistema de dorsais;Conjunto, rede ou complexo de várias <a href="#dorsal">dorsais</a> lunares ligadas entre si e tendo uma origem comum.
sistema de falhas;Conjunto, rede ou complexo de várias <a href="#falha">falhas</a> lunares ligadas entre si e tendo uma origem comum.
terminador;Zona do disco lunar constituindo a fronteira entre a parte iluminada e a parte escura.
terminador da noite;O terminador nocturno é a área da Lua onde o Sol se está a pôr (na perspectiva de quem se encontra-se na sua superfície). Para um observador terrestre, pode paradoxalmente ser observada de manhã entre a <a href="#Lua Cheia">Lua Cheia</a> e a <a href="#Lua Nova">Lua Nova</a>.
terminador da manhã;O terminador matutino é a região onde o Sol se está a levantar sobre a Lua. Para um observador terrestre ele observa-se paradoxalmente à noite entre a <a href="#Lua Nova">Lua Nova</a> e a <a href="#Lua Cheia">Lua Cheia</a>.
toponímia lunar;Origem dos nomes das formações lunares.
UAI;Abreviatura de União Astronómica Internacional (International Astronomical Union - IAU, no original inglês).
velocidade de escape; Velocidade mínima que será necessário atingir para «escapar» (i.e., furtar-se a, fugir à influência de...) à atracção gravitacional de um corpo celeste.
vale;Formação rectilínea causada pelo afundamento de uma parcela de terreno ou formada pelo alinhamento de várias crateras geradas pelas sequelas de um impacto meteorítico importante.
vallis;Latim. Termo empregue pela União Astronómica Internacional (UAI) para designar oficialmente um <a href="#vale">vale</a> lunar.
vertente;Também aludida por vezes como «declive» ou «encosta». Parte de uma <a href="#formação crateriforme">formação crateriforme</a> que vai dos terrenos vizinhos e se eleva até ao cume do <a href="#oceano">muro</a>. As vertentes podem ir de quase planas a muito escarpadas. São ditas «tormentosas» ou «acidentadas» se apresentam vales radiais.
zona das librações;Parte limítrofe entre a <a href="#face oculta">face oculta</a> e a <a href="#face visível">face visível</a>, situada nas proximidades dos meridianos 90º Oeste e 90º Este e alternativamente ocultas ou visíveis em função da <a href="#libração">libração</a> lunar.
