NAME;LOCAL_NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONALTY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHT_KM;WIDE_KM;LENGHT_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1985;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
SURVEYOR 1;SURVEYOR 1;HS25000S3168000;25000S3168000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;30/05/1966;(NASA/USA);Non applicable;Surveyor 1;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-43,2;316,8000;43 ° 12 '  Ouest;-2,5;2 ° 30 '  Sud;Face visible;Sud-Ouest;Partie Sud-Ouest de l'Océan des Tempêtes;40;Flamsteed;221;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;IV-097-H3;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 30 Mai 1966 / 14h 41mn (UT) de Cape Kennedy.;Sonde comportant 330 kg de matériel et 537 kg de combustibles azotés. 1 rétrofusée coupée à 97 km et trois moteurs de descente coupé à 5 m du sol. 1 caméra de télévision en couleurs 3 pieds à 120  ° d'une largeur de 4,2 m. Un mÃ¢t de 3 m de haut avec un panneau solaire et une antenne à grand gain.;Alunissage en douceur le 2 juin 1966. Dans Oceanus Procellarum à 50 km au Nord du cratère Flamsteed. Transmet 11 237 photos. Confirme que le sol de la Lune est dur car il ne s'enfonce que de 10 cm. Reste opérationnel jusqu'en octobre 1966. Sera réactivé en janvier 1967;;;Non décrit;0;Non visible;11;4 jours après le Premier Quartier;3 jours après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNAR ORBITER 1;LUNAR ORBITER 1;HS63500N1992800;63500N1992800;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;10/08/1966;(NASA/USA);Non applicable;Lunar Orbiter 1;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-160,72;199,2800;160 ° 43 '  Ouest;6,35;6 ° 21 '  Nord;Face cachée;Nord-Ouest;Non définie;0;Face cachée;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 10 Août 1966 / 19h 26mn (UT) de Cape Kennedy.;Orbiteur lunaire destiné à photographier les sites potentiels d'alunissage humain. Hauteur 1,65 m. Diamètre de 1,5 m. Quatre panneaux solaires de 3,72 m d'envergure. ;S'approcha jusqu'à 40,5 km du sol lunaire. 42 photos à haute résolution et 187 à moyenne résolution prises du 18 au 29 ao ût et retransmises à partir du 14 septembre.S'écrase le 29 octobre 1966 lors de sa 577 ème orbite. ;Premières photos de la Terre prises depuis la Lune. Forme de poire de la Lune détectée. Pas d'impact de micrométéorites sur la sonde.;;Non décrit;0;Non visible;999;Non visible;Non visible;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
SURVEYOR 2;SURVEYOR 2;HS39000N3490000;39000N3490000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;20/09/1966;(NASA/USA);Non applicable;Surveyor 2;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-11;349,0000;11 ° 0 '  Ouest;3,9;3 ° 54 '  Nord;Face visible;Nord-Ouest;Région au Sud du cratère Erathostène;32;Stadius;247;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 20 Septembre 1966 / 12h 32mn (UT) de Cape Kennedy.;Sonde comportant 330 kg de matériel et 537 kg de combustibles azotés. 1 rétrofusée coupée à 97 km et trois moteurs de descente coupé à 5 m du sol. 1 caméra de télévision en couleurs. 3 pieds à 120  ° d'une largeur de 4,2 m. Un mÃ¢t de 3 m de haut avec un panneau solaire et une antenne à grand gain.;Panne d'un moteur de descente. S'écrase sur la Lune le 22 septembre 1966 au Sud du cratère Copernicus.;;;Non décrit;0;Non visible;8;1 jour après le Premier Quartier;Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNAR ORBITER 2;LUNAR ORBITER 2;HS29000N2409000;29000N2409000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;06/11/1966;(NASA/USA);Non applicable;Lunar Orbiter 2;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-119,1;240,9000;119 ° 6 '  Ouest;2,9;2 ° 54 '  Nord;Face cachée;Nord-Ouest;Non définie;0;Face cachée;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 6 Novembre 1966 / 23h 21mn (UT) de Cape Kennedy.;Orbiteur lunaire destiné à photographier les sites potentiels d'alunissage humain. Hauteur 1,65 m. Diamètre de 1,5 m. Quatre panneaux solaires de 3,72 m d'envergure. ;S'approcha jusqu'à 49,7 km du sol lunaire. 609 photos à haute résolution (jusqu'à 1 m) et 208 à moyenne résolution prises du 18 au 25 novembre et retransmises à partir du 7 décembre.S'écrase le 11 octobre 1967. ;Obtient une spectaculaire photo oblique du cratère Copernicus.;;Non décrit;0;Non visible;999;Non visible;Non visible;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNA 13;LUNA 13;HS190000N3379000;190000N3379000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;21/12/1966;(URSS / NII-88 / Korolev);Non applicable;Luna 13 / Lunik 13 (Class E-6M);(USSR / NII-88 / Korolev);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-22,1;337,9000;22 ° 6 '  Ouest;19;19 ° 0 '  Nord;Face visible;Nord-Ouest;Limbe Ouest-Nord-Ouest de la Lune;17;Struve;303;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 21 Décembre 1966  / 10h 19 mn (TU) de Baïkonour.;Sonde de 1700 kg. Voyage de 3,5 j. Séquence de freinage par rétrofusée à 75 km d'altitude pendant 46 s. Sonde lunaire contenue dans un ballon gonflé libéré à quelques mètres d'altitude. A aluni le 24 décembre 1966 à 18h 01mn. ;Sonde en forme d'oeuf posée de 150 kg avec instruments et caméras. 4 panneaux solaires en pétales ouverts après l'alunissage. Conteneur scellé avec chauffage interne, batteries et programmateur. Caméra TV fixe avec miroir orientable. ;A pris trois vues panoramiques. A effectué des mesures physiques sur le sol avec un pénétromètre, un dynamographe et un densitomètre à radiations. Transmissions terminées à la fin de décembre.;;Non décrit;0;Non visible;9;2 jours après le Premier Quartier;1 jour après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNAR ORBITER 3;LUNAR ORBITER 3;HS146000N2683000;146000N2683000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;05/02/1967;(NASA/USA);Non applicable;Lunar Orbiter 3;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-91,7;268,3000;91 ° 42 '  Ouest;14,6;14 ° 36 '  Nord;Face cachée;Nord-Ouest;Non définie;VIII;Not indicated;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 5 Février 1967 / 1h 17mn (UT) de Cape Kennedy.;Orbiteur lunaire destiné à photographier les sites potentiels d'alunissage humain. Hauteur 1,65 m. Diamètre de 1,5 m. Quatre panneaux solaires de 3,72 m d'envergure. ;S'approcha jusqu'à 55 km du sol lunaire. 477 photos à haute résolution (jusqu'à 1 m) et 149 à moyenne résolution prises du 15 au 23 février et retransmises à partir du 4 mars. S'écrase le 9 octobre 1967. ;Localisation de Surveyor 1 sur la surface. Panne du mécanisme d'avance du film ne permettant pas la transmission de 25% des clichés. ;;Non décrit;0;Non visible;999;Non visible;Non visible;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
SURVEYOR 3;SURVEYOR 3;HS30000S3367000;30000S3367000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;17/04/1967;(NASA/USA);Non applicable;Surveyor 3;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-23,3;336,7000;23 ° 18 '  Ouest;-3;3 ° 0 '  Sud;Face visible;Sud-Ouest;Région au Sud-Est de l'Océan des Tempêtes;42;Fra Mauro;249;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 17 Avril 1967 / 7h 05mn (UT) de Cape Kennedy.;Sonde comportant 330 kg de matériel et 537 kg de combustibles azotés. 1 rétrofusée coupée à 97 km et trois moteurs de descente coupé à 5 m du sol. 1 caméra de télévision en couleurs. 3 pieds à 120  ° d'une largeur de 4,2 m. Un mÃ¢t de 3 m de haut avec un panneau solaire et une antenne à grand gain. ;Alunissage en douceur entre le cratère Fra Mauro et Montes Riphaeus. Creuse 3 sillons dans le sol. Transmet 6 315 photos dont une photo d'éclipse le 24 avril 1967. Reste opérationnel jusqu'en mai 1967. Visité par les astronautes d'Apollo 12 en novembre 1969. Un streptocoque terrien vivant trouvé dans les pièces ramenées sur Terre.;;;Non décrit;0;Non visible;9;2 jours après le Premier Quartier;1 jour après le Dernier Quartier;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
SURVEYOR 4;SURVEYOR 4;HS4000N3587000;4000N3587000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;14/07/1967;(NASA/USA);Non applicable;Surveyor 4;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-1,3;358,7000;1 ° 18 '  Ouest;0,4;0 ° 24 '  Nord;Face visible;Nord-Ouest;Région au centre du disque lunaire;33;Triesnecker;291;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 14 Juillet 1967 / 11h 53mn (UT) de Cape Kennedy.;Sonde comportant 330 kg de matériel et 537 kg de combustibles azotés. 1 rétrofusée coupée à 97 km et trois moteurs de descente coupé à 5 m du sol. 1 caméra de télévision en couleurs. 3 pieds à 120  ° d'une largeur de 4,2 m. Un mÃ¢t de 3 m de haut avec un panneau solaire et une antenne à grand gain. ;S'écrase près du centre de la face visible à cause d'une panne de rétrofusées.;;;Non décrit;0;Non visible;7;Premier Quartier;6 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
LUNAR ORBITER 5;LUNAR ORBITER 5;HS28000S2769000;28000S2769000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Impact volontaire;Action humaine;02/08/1967;(NASA/USA);Non applicable;Lunar Orbiter 5;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-83,1;276,9000;83 ° 6 '  Ouest;-2,8;2 ° 12 '  Sud;Face visible;Sud-Ouest;Limbe Ouest de la Lune;39;Grimaldi;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;Pas de carte ou d'image;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 2 Août 1967 de Cape Kennedy.;Orbiteur lunaire destiné à photographier les sites potentiels d'alunissage humain. Hauteur 1,65 m. Diamètre de 1,5 m. Quatre panneaux solaires de 3,72 m d'envergure. ;S'approcha jusqu'à 99 km du sol lunaire. 633 photos à haute résolution (jusqu'à 2 m) et 211 à moyenne résolution prises du 6 au 18 ao ût et retransmises à partir du 27 ao ût. S'écrase le 31 janvier 1968. ;Porte la couverture photographique du globe lunaire à 99%.;;Non décrit;0;Non visible;999;Non visible;Non visible;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
SURVEYOR 5;SURVEYOR 5;HS14000N232000;14000N232000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;08/09/1967;(NASA/USA);Non applicable;Surveyor 5;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;23,2;23,2000;23 ° 12 '  Est;1,4;1 ° 24 '  Nord;Face visible;Nord-Est;Partie Est de la Mer de la Tranquillité;35;Arago;276;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 8 Septembre 1967 7h 57mn (UT) de Cape Kennedy.;Sonde comportant 330 kg de matériel et 537 kg de combustibles azotés. 1 rétrofusée coupée à 97 km et trois moteurs de descente coupé à 5 m du sol. 1 caméra de télévision en couleurs. 3 pieds à 120  ° d'une largeur de 4,2 m. Un mÃ¢t de 3 m de haut avec un panneau solaire et une antenne à grand gain. ;Alunissage en douceur dans Mare Tranquillitatis. Analyse du sol par un analyseur de particules alpha de 13 kg pendant 100 h sur 100 cm2. Composition proche du basalte terrestre. Informations sur la réflectivité radar et la température du sol. 18 006 photographies. Reste opérationnel jusqu'au 16 décembre 1967.;;;Non décrit;0;Non visible;5;5 jours après la Nouvelle Lune;4 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
SURVEYOR 6;SURVEYOR 6;HS4000N3586000;4000N3586000;Formation répertoriée;Site historique;Pas de type UAI;Sonde / Atterrissage ;Action humaine;07/11/1967;(NASA/USA);Non applicable;Surveyor 6;(NASA/USA);Non approuvé par l'UAI;Inexistant à cette époque;Inexistant à cette époque;Inexistant à cette époque;Non applicable;Non applicable;Non applicable;20;20 ème siècle;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;-1,4;358,6000;1 ° 24 '  Ouest;0,4;0 ° 24 '  Nord;Face visible;Nord-Ouest;Région au centre du disque lunaire;33;Triesnecker;291;Pas de carte ou d'image;Pas de carte ou d'image;Non décrit;??;Non applicable;Non applicable;Non applicable;Non applicable;Calcul impossible;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Lancé le 7 Novembre 1967 / 7h 39mn (UT) de Cape Kennedy.;Sonde comportant 330 kg de matériel et 537 kg de combustibles azotés. 1 rétrofusée coupée à 97 km et trois moteurs de descente coupé à 5 m du sol. 1 caméra de télévision en couleurs. 3 pieds à 120  ° d'une largeur de 4,2 m. Un mÃ¢t de 3 m de haut avec un panneau solaire et une antenne à grand gain. ;Alunissage en douceur dans Sinus Medii. Redécollage à 2,5 m de hauteur et alunissage à 6,5 m de distance. 30 065 photographies. Analyse du sol par un mesureur de particules alpha de 13 kg. Reste opérationnel jusqu'au 14 décembre 1967.;;;Non décrit;0;Non visible;7;Premier Quartier;6 jours après la Pleine Lune;999;Non visible;Non visible;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI;Non approuvé par l'UAI
