NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
UNNAMED SPACEFLIGHT / LUNAR EXPLORATION;UNNAMED SPACEFLIGHT / LUNAR EXPLORATION;Anglais;English;Forum d'astronomie;Astronomy Forum;Exploration planétaire;Planetary exploration;http://www.unmannedspaceflight.com/index.php?showforum=17;Forum d'échanges avec astronomes professionnels sur l'exploration lunaire;Professional astronomers lunar exploration exchages forum;17.10.2012;17.10.2012
USFS ASTROGEOLOGY SCIENCE CENTER / CLEMENTINE;USFS ASTROGEOLOGY SCIENCE CENTER / CLEMENTINE;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;http://astrogeology.usgs.gov/Missions/Clementine/;Description de la mission Clementine par l'US Geological Survey avec des liens;Clementine mission description by US Geological Survey with links;30/06/2011;30/06/2011
USGS / LUNAR ORBITER DIGITIZATION PROJECT;USGS / LUNAR ORBITER DIGITIZATION PROJECT;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://astrogeology.usgs.gov/maps/moon-lunar-orbiter-digitization;Numérisation des images des sondes Lunar Orbiter;Digitization of Lunar Orbiter probes pictures;30/06/2011;30/06/2011
USGS ASTROGEOLOGY LUNAR ORBITER DATA;USGS ASTROGEOLOGY LUNAR ORBITER DATA;Anglais;English;Sondes lunaires;Lunar probes;Sondes américaines;United States probes;https://astrogeology.usgs.gov/search?pmi-target=moon;Les photos en haute résolution des Lunar Orbiter;High resolution Lunar Orbiter pictures;06.09.2012;06.09.2012
VIRTUAL SPACE MUSEUM;VIRTUAL SPACE MUSEUM;Anglais;English;Sondes lunaires;Lunar probes;Sondes soviétiques;Soviet probes;http://www.vsm.host.ru/emain.htm;Site russe sur les sondes Luna et Lunakhod;Russian site about Luna and Lunakhod probes;30/06/2011;30/06/2011
VUES SUR LA LUNE / RAYMOND SADIN;MOON VIEWS / RAYMOND SADIN;Français;French;Blog;Blog;Astronome amateur;Astronome amateur;https://www.astrosurf-magazine.com/VuesSurLaLune/;Les articles sur les formations lunaires de Raymond Sadin parus dans Astrosurf magazine;Lunar formations articles from Raymond Sadin edited in Astronomie Magazine;14/10/2022;14/10/2022
TRACES OF CATASTROPH;TRACES OF CATASTROPH;Anglais;English;Livre en ligne;On line e-book;Géologie lunaire;Lunar geology;https://www.lpi.usra.edu/publications/books/CB-954/CB-954.intro.html;Les cratères météoritiques et les bassins d'impact;Meteoritic craters and impact basins;19/10/2022;19/10/2022
THE SOVIET REACH OF THE MOON;THE SOVIET REACH OF THE MOON;Anglais;English;Livre en ligne;On line e-book;Exploration lunaire;Lunar exploration;https://www.lpi.usra.edu/publications/books/sovietReach/index.pdf;L'histoire de l'échec de la conquête de la Lune par l'URSS;USSR lunar conquest failure;19/10/2022;19/10/2022
MOON TRIP;MOON TRIP;Anglais;English;Livre en ligne;On line e-book;Exploration lunaire;Lunar exploration;https://www.lpi.usra.edu/publications/books/moonTrip/index.shtml;Les missions Apollo;Apollo missions;19/10/2022;19/10/2022
LUNAR BASES;LUNAR BASES;Anglais;English;Livre en ligne;On line e-book;Exploration lunaire;Lunar exploration;https://www.lpi.usra.edu/publications/books/lunar_bases/;La future colonisation de la Lune;Moon future colonisation;19/10/2022;19/10/2022
